MF;HABITAT-Subterranean;Female min;Female max;Female Avg;Male min;Male max;Male Avg;Dispersal;Capture web;Sensing web;No web;Tube web;Sheet web;Space web;Orb web ;Ambush hunter;Active hunter;Stenophagous / Not Euryphagous
2;0;2;3;2.5;1.8;2.2;2;2;1;0;0;0;1;1;0;0;0;0
3;0;4.2;5.9;5.05;2.4;4.1;3.25;1;0;0;1;0;0;0;0;1;0;0
5;0;1.7;2.1;1.9;1.5;2;1.75;1;1;0;0;0;0;1;0;0;0;0
17;0;5.6;8.5;7.05;4.6;6.4;5.5;1;0;0;1;0;0;0;0;0;1;0
20;0;1.5;1.9;1.7;1.2;1.8;1.5;2;1;0;0;0;1;1;0;0;0;0
21;0;2;4.3;3.15;1.8;3.2;2.5;2;1;0;0;0;1;1;0;0;0;0
24;0;2.9;3;2.95;2.6;3.1;2.85;2;0;0;1;0;0;0;0;0;1;0
28;0;8.5;15;11.75;8.5;11.1;9.8;0;0;0;1;0;0;0;0;0;1;1
39;0;7.3;12.1;9.7;8.5;10.3;9.4;0;0;0;1;0;0;0;0;0;1;0
50;0;2.5;3.6;3.05;1.7;2.4;2.05;2;1;0;0;0;1;1;0;0;0;0
117;0;1.6;2.5;2.05;1.9;3.3;2.6;0;0;0;1;0;0;0;0;0;1;0
133;0;5.6;12;8.8;4.9;8;6.45;1;1;0;0;0;0;0;1;0;0;0
134;0;5.3;8.5;6.9;3.2;5.5;4.35;2;1;0;0;0;0;0;1;0;0;0
140;0;2;4.8;3.4;2.5;3.2;2.85;0;0;0;1;0;0;0;0;0;1;1
179;0;3.4;4.3;3.85;2.5;3.2;2.85;1;1;0;0;0;0;0;1;0;0;0
181;0;1.6;2;1.8;1.5;1.75;1.625;2;0;0;1;0;0;0;0;0;1;0
198;0;4.4;6;5.2;3.5;5.4;4.45;1;0;0;1;0;0;0;0;0;1;0
208;0;1.6;1.9;1.75;1.1;1.7;1.4;1;0;0;1;0;0;0;0;0;1;1
228;0;2.4;6;4.2;2;3.5;2.75;2;1;0;0;0;0;0;1;0;0;0
233;0;2.1;3;2.55;1.5;2.3;1.9;2;0;0;1;0;0;0;0;0;1;0
234;0;1.3;1.7;1.5;1.1;1.5;1.3;2;0;0;1;0;0;0;0;0;1;0
241;0;2.5;3;2.75;0;0;0;1;1;0;0;0;0;1;0;0;0;0
249;0;1.3;2;1.65;1.4;2;1.7;2;0;0;1;0;0;0;0;0;1;0
250;0;5.2;7;6.1;3;4;3.5;1;0;0;1;0;0;0;0;1;0;0
260;0;1.8;3;2.4;1.2;2.8;2;2;0;0;1;0;0;0;0;0;1;0
312;0;1.2;1.3;1.25;1.2;1.3;1.25;2;0;0;1;0;0;0;0;0;1;0
421;0;2.3;2.5;2.4;1.7;2.1;1.9;2;0;0;1;0;0;0;0;0;1;0
442;0;1.5;2.2;1.85;1.6;1.8;1.7;2;0;0;1;0;0;0;0;0;1;0
488;0;2.2;3.6;2.9;1.7;2.4;2.05;1;1;0;0;0;0;1;0;0;0;0
516;0;3.8;5.5;4.65;3.5;3.5;3.5;0;0;0;1;0;0;0;0;0;1;0
526;0;1.8;2.2;2;1.5;1.5;1.5;1;0;0;1;0;0;0;0;0;1;0
618;0;2;3.4;2.7;1.6;2.8;2.2;0;1;0;0;0;0;1;0;0;0;0
735;0;3;5.5;4.25;3.6;4.8;4.2;2;1;0;0;0;1;1;0;0;0;0
869;0;7.6;14;10.8;5.6;11.4;8.5;1;1;0;0;0;0;1;0;0;0;0
927;0;7.9;9.3;8.6;5;8.3;6.65;0;0;0;1;0;0;0;0;0;1;0
1309;0;4.7;10.7;7.7;6.2;7.7;6.95;2;1;0;0;0;0;0;1;0;0;0
