"","TrailName","ForestID","Dist_trail","Dist_edge","Dist_trail_beginning","Treatment","TAlphaAll","TAlphaNat","TAlphaNInd","FAlphaAll","FAlphaNat","FAlphaNInd","BetaAllTotalVector","BetaAllRichVector","BetaAllReplVector","BetaFuncAllTotalVector","BetaFuncAllRichVector","BetaFuncAllReplVector","BetaNatTotalVector","BetaNatRichVector","BetaNatReplVector","BetaFuncNatTotalVector","BetaFuncNatRichVector","BetaFuncNatReplVector","BetaNIndTotalVector","BetaNIndRichVector","BetaNIndReplVector","BetaFuncNIndTotalVector","BetaFuncNIndRichVector","BetaFuncNIndReplVector"
"Guil_Moniz_0","Guilherme_Moniz","Guilherme_Moniz","0","0","0","Trail_zero","23","12","11","9.16504941837104","5.39626739797629","4.56041530898858","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lagoinha_0","Lagoinha_0","Lagoinha","0","0","50","Trail_zero","11","8","3","5.14153038130994","4.04571346190413","1.62576364985482","0.642857142857143","0.214285714285714","0.428571428571429","0.477944121774406","0.197226933384719","0.280717188389687","1","1","0","0.412925028519147","0.103344969655803","0.309580058863344","1","1","0","0.412925028519147","0.103344969655803","0.309580058863344"
"Lagoinha_50","Lagoinha_50","Lagoinha","0","0","250","Trail_fifty","7","7","0","3.50399532276871","3.40682500036599","0","0.333333333333333","0.111111111111111","0.222222222222222","0.291918155068157","0.00616373373936878","0.285754421328789","0","0","0","0.301322484688842","0.00612979755302551","0.295192687135817","0","0","0","0.301322484688842","0.00612979755302551","0.295192687135817"
"Lagoinha_250","Lagoinha_250","Lagoinha","0","0","250","Trail_twohundredfifty","5","5","0","2.74031996609536","2.68673944645403","0","0.375","0.375","0","0.30649971697813","0.0957583090989656","0.210741407879165","0","0","0","0.318170721426189","0.0950983767312908","0.223072344694898","0","0","0","0.318170721426189","0.0950983767312908","0.223072344694898"
"Lagoinha_Control_50","Lagoinha_Control_50","Lagoinha","50","293","NA","CTRL_fifty","10","8","2","4.57481350911237","3.74870526335081","1.19129062333711","0.5","0.166666666666667","0.333333333333333","0.341281286091206","0.102855881170894","0.238425404920312","1","1","0","0.306688995750279","0.0442462741838479","0.262442721566431","1","1","0","0.306688995750279","0.0442462741838479","0.262442721566431"
"Lagoinha _Control_250","Lagoinha_Control_250","Lagoinha","235","50","NA","CTRL_twohundredfifty","8","8","0","3.79445128978612","3.7380217935943","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mist Negros_0","Mist_Negros_0","Mistérios_Negros","0","0","0","Trail_zero","17","10","7","7.31946432937101","4.66122465307161","3.199481975792","0.5","0.2","0.3","0.39932655605573","0.0758874494306598","0.32343910662507","0.75","0.5","0.25","0.4177288332635","0.0036338669837045","0.414094966279796","0.75","0.5","0.25","0.4177288332635","0.0036338669837045","0.414094966279796"
"Mist Negros_50","Mist_Negros_50","Mistérios_Negros","0","-25","50","Trail_fifty","11","7","4","5.16601172981207","3.39614153060948","1.95055005353667","0.588235294117647","0.117647058823529","0.470588235294118","0.350555310803974","0.0314209934500342","0.319134317353939","0.833333333333333","0.166666666666667","0.666666666666667","0.368487448759297","0.0848997111100871","0.283587737649209","0.833333333333333","0.166666666666667","0.666666666666667","0.368487448759297","0.0848997111100871","0.283587737649209"
"Mist Negros_250","Mist_Negros_250","Mistérios_Negros","0","0","250","Trail_twohundredfifty","16","11","5","6.44233609951436","4.78075701877524","2.22013718398831","0.388888888888889","0.166666666666667","0.222222222222222","0.296437498421086","0.0256413215003865","0.2707961769207","0.4","0.4","0","0.328274407174894","0.0175228113377057","0.310751595837188","0.4","0.4","0","0.328274407174894","0.0175228113377057","0.310751595837188"
"Mist Negros_Max","Mist_Negros_Max","Mistérios_Negros","0","25","1010","Trail_Max","11","10","1","4.8941669279405","4.35340688235206","0.735043044050205","0.588235294117647","0.117647058823529","0.470588235294118","0.430046005777396","0.0632689926515695","0.366777013125826","1","0.5","0.5","0.362883591958776","0.0027910190972078","0.360092572861568","1","0.5","0.5","0.362883591958776","0.0027910190972078","0.360092572861568"
"Mist Negros_Control_50","Mist_Negros_Control_50","Mistérios_Negros","50","50","NA","CTRL_fifty","11","9","2","4.99623111834764","4.37049986558598","1.19129062333711","0.5","0.125","0.375","0.285365668575715","0.0674777983325616","0.217887870243153","0.75","0.25","0.5","0.292639084094585","0.0495529677728024","0.243086116321782","0.75","0.25","0.5","0.292639084094585","0.0495529677728024","0.243086116321782"
"Mist Negros_Control_250","Mist_Negros_Control_250","Mistérios_Negros","600","600","NA","CTRL_twohundredfifty","13","10","3","5.72358167784807","4.76579907991871","1.58765823592758","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sta Barbara_0","Sta_Barbara_0","Santa_Barbara","0","510","0","Trail_zero","12","11","1","5.45618257105755","5.15041476039231","0.735043044050205","0.5","0.214285714285714","0.285714285714286","0.399686313427145","0.150311279925285","0.24937503350186","1","1","0","0.393569633863995","0.112290761005009","0.281278872858986","1","1","0","0.393569633863995","0.112290761005009","0.281278872858986"
"Sta Barbara_50","Sta_Barbara_50","Santa_Barbara","0","481","50","Trail_fifty","11","9","2","5.036524555936","4.37049986558598","1.16951607056792","0.571428571428571","0.142857142857143","0.428571428571429","0.382313345143727","0.195921817562215","0.186391527581511","1","1","0","0.357024029479875","0.132048201553398","0.224975827926477","1","1","0","0.357024029479875","0.132048201553398","0.224975827926477"
"Sta Barbara_250","Sta_Barbara_250","Santa_Barbara","0","436","250","Trail_twohundredfifty","7","6","1","3.40997832737102","3.08203859668415","0.735043044050205","0.545454545454545","0.181818181818182","0.363636363636364","0.354571171176417","0.0315944821171792","0.322976689059238","1","1","0","0.379745943718838","0.031649969570874","0.348095974147964","1","1","0","0.379745943718838","0.031649969570874","0.348095974147964"
"Sta Barbara_Max","Sta_Barbara_Max","Santa_Barbara","0","404","401","Trail_Max","14","11","3","6.01800543912642","5.05426039155561","1.51607702701896","0.5625","0.3125","0.25","0.460069372787613","0.173368476082385","0.286700896705228","1","1","0","0.42707992244528","0.0829993303487371","0.344080592096543","1","1","0","0.42707992244528","0.0829993303487371","0.344080592096543"
"Sta Barbara_Control_50","Sta_Barbara_Control_50","Santa_Barbara","50","441","NA","CTRL_fifty","10","9","1","3.91826031176376","4.18118346354772","0.735043044050205","0.416666666666667","0.0833333333333333","0.333333333333333","0.318286401057418","0.0107227151089847","0.307563685948433","1","1","0","0.325975383293901","0.00417223865119638","0.321803144642704","1","1","0","0.325975383293901","0.00417223865119638","0.321803144642704"
"Sta Barbara_Control_250","Sta_Barbara_Control_250","Santa_Barbara","300","600","NA","CTRL_twohundredfifty","9","9","0","4.09603811518258","4.03502990667746","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
