;TrailName;ForestID;Dist_trail;Dist_edge;Dist_trail_beginning;Treatment;TAlphaAll;TAlphaNat;TAlphaNInd;FAlphaAll;FAlphaNat;FAlphaNInd;BetaAllTotalVector;BetaAllRichVector;BetaAllReplVector;BetaFuncAllTotalVector;BetaFuncAllRichVector;BetaFuncAllReplVector;BetaNatTotalVector;BetaNatRichVector;BetaNatReplVector;BetaFuncNatTotalVector;BetaFuncNatRichVector;BetaFuncNatReplVector;BetaNIndTotalVector;BetaNIndRichVector;BetaNIndReplVector;BetaFuncNIndTotalVector;BetaFuncNIndRichVector;BetaFuncNIndReplVector
Guil_Moniz_0;Guilherme_Moniz;Guilherme_Moniz;0;0;0;Trail_zero;23;12;11;9.165049418;5.396267398;4.560415309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lagoinha_0;Lagoinha_0;Lagoinha;0;0;50;Trail_zero;11;8;3;5.141530381;4.045713462;1.62576365;0.642857143;0.214285714;0.428571429;0.477944122;0.197226933;0.280717188;1;1;0;0.412925029;0.10334497;0.309580059;1;1;0;0.412925029;0.10334497;0.309580059
Lagoinha_50;Lagoinha_50;Lagoinha;0;0;250;Trail_fifty;7;7;0;3.503995323;3.406825;0;0.333333333;0.111111111;0.222222222;0.291918155;0.006163734;0.285754421;0;0;0;0.301322485;0.006129798;0.295192687;0;0;0;0.301322485;0.006129798;0.295192687
Lagoinha_250;Lagoinha_250;Lagoinha;0;0;250;Trail_twohundredfifty;5;5;0;2.740319966;2.686739446;0;0.375;0.375;0;0.306499717;0.095758309;0.210741408;0;0;0;0.318170721;0.095098377;0.223072345;0;0;0;0.318170721;0.095098377;0.223072345
Lagoinha_Control_50;Lagoinha_Control_50;Lagoinha;50;293;NA;CTRL_fifty;10;8;2;4.574813509;3.748705263;1.191290623;0.5;0.166666667;0.333333333;0.341281286;0.102855881;0.238425405;1;1;0;0.306688996;0.044246274;0.262442722;1;1;0;0.306688996;0.044246274;0.262442722
Lagoinha _Control_250;Lagoinha_Control_250;Lagoinha;235;50;NA;CTRL_twohundredfifty;8;8;0;3.79445129;3.738021794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mist Negros_0;Mist_Negros_0;Mistérios_Negros;0;0;0;Trail_zero;17;10;7;7.319464329;4.661224653;3.199481976;0.5;0.2;0.3;0.399326556;0.075887449;0.323439107;0.75;0.5;0.25;0.417728833;0.003633867;0.414094966;0.75;0.5;0.25;0.417728833;0.003633867;0.414094966
Mist Negros_50;Mist_Negros_50;Mistérios_Negros;0;-25;50;Trail_fifty;11;7;4;5.16601173;3.396141531;1.950550054;0.588235294;0.117647059;0.470588235;0.350555311;0.031420993;0.319134317;0.833333333;0.166666667;0.666666667;0.368487449;0.084899711;0.283587738;0.833333333;0.166666667;0.666666667;0.368487449;0.084899711;0.283587738
Mist Negros_250;Mist_Negros_250;Mistérios_Negros;0;0;250;Trail_twohundredfifty;16;11;5;6.4423361;4.780757019;2.220137184;0.388888889;0.166666667;0.222222222;0.296437498;0.025641322;0.270796177;0.4;0.4;0;0.328274407;0.017522811;0.310751596;0.4;0.4;0;0.328274407;0.017522811;0.310751596
Mist Negros_Max;Mist_Negros_Max;Mistérios_Negros;0;25;1010;Trail_Max;11;10;1;4.894166928;4.353406882;0.735043044;0.588235294;0.117647059;0.470588235;0.430046006;0.063268993;0.366777013;1;0.5;0.5;0.362883592;0.002791019;0.360092573;1;0.5;0.5;0.362883592;0.002791019;0.360092573
Mist Negros_Control_50;Mist_Negros_Control_50;Mistérios_Negros;50;50;NA;CTRL_fifty;11;9;2;4.996231118;4.370499866;1.191290623;0.5;0.125;0.375;0.285365669;0.067477798;0.21788787;0.75;0.25;0.5;0.292639084;0.049552968;0.243086116;0.75;0.25;0.5;0.292639084;0.049552968;0.243086116
Mist Negros_Control_250;Mist_Negros_Control_250;Mistérios_Negros;600;600;NA;CTRL_twohundredfifty;13;10;3;5.723581678;4.76579908;1.587658236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sta Barbara_0;Sta_Barbara_0;Santa_Barbara;0;510;0;Trail_zero;12;11;1;5.456182571;5.15041476;0.735043044;0.5;0.214285714;0.285714286;0.399686313;0.15031128;0.249375034;1;1;0;0.393569634;0.112290761;0.281278873;1;1;0;0.393569634;0.112290761;0.281278873
Sta Barbara_50;Sta_Barbara_50;Santa_Barbara;0;481;50;Trail_fifty;11;9;2;5.036524556;4.370499866;1.169516071;0.571428571;0.142857143;0.428571429;0.382313345;0.195921818;0.186391528;1;1;0;0.357024029;0.132048202;0.224975828;1;1;0;0.357024029;0.132048202;0.224975828
Sta Barbara_250;Sta_Barbara_250;Santa_Barbara;0;436;250;Trail_twohundredfifty;7;6;1;3.409978327;3.082038597;0.735043044;0.545454545;0.181818182;0.363636364;0.354571171;0.031594482;0.322976689;1;1;0;0.379745944;0.03164997;0.348095974;1;1;0;0.379745944;0.03164997;0.348095974
Sta Barbara_Max;Sta_Barbara_Max;Santa_Barbara;0;404;401;Trail_Max;14;11;3;6.018005439;5.054260392;1.516077027;0.5625;0.3125;0.25;0.460069373;0.173368476;0.286700897;1;1;0;0.427079922;0.08299933;0.344080592;1;1;0;0.427079922;0.08299933;0.344080592
Sta Barbara_Control_50;Sta_Barbara_Control_50;Santa_Barbara;50;441;NA;CTRL_fifty;10;9;1;3.918260312;4.181183464;0.735043044;0.416666667;0.083333333;0.333333333;0.318286401;0.010722715;0.307563686;1;1;0;0.325975383;0.004172239;0.321803145;1;1;0;0.325975383;0.004172239;0.321803145
Sta Barbara_Control_250;Sta_Barbara_Control_250;Santa_Barbara;300;600;NA;CTRL_twohundredfifty;9;9;0;4.096038115;4.035029907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
