;TrailName;ForestID;Dist_trail;Dist_edge;Dist_trail_beginning;Treatment;TAlphaAll;TAlphaNat;TAlphaNInd;FAlphaAll;FAlphaNat;FAlphaNInd;BetaAllTotalVector;BetaAllRichVector;BetaAllReplVector;BetaFuncAllTotalVector;BetaFuncAllRichVector;BetaFuncAllReplVector;BetaNatTotalVector;BetaNatRichVector;BetaNatReplVector;BetaFuncNatTotalVector;BetaFuncNatRichVector;BetaFuncNatReplVector;BetaNIndTotalVector;BetaNIndRichVector;BetaNIndReplVector;BetaFuncNIndTotalVector;BetaFuncNIndRichVector;BetaFuncNIndReplVector
1;Guilherme_Moniz;Guilherme_Moniz;0;0;0;Trail_zero;23;12;11;3.60021672364647;2.66598414825238;1.82976093122445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Lagoinha_0;Lagoinha;0;0;50;Trail_zero;11;8;3;2.31308525082901;1.99295147890664;1.06711603906243;0.642857142857143;0.214285714285714;0.428571428571429;0.441831400681546;0.201906394460502;0.239925006221045;1;1;0;0.41594740402186;0.103148162756173;0.312799241265686;1;1;0;0.41594740402186;0.103148162756173;0.312799241265686
3;Lagoinha_50;Lagoinha;0;0;250;Trail_fifty;7;7;0;1.84136977661858;1.82562876280614;0;0.333333333333333;0.111111111111111;0.222222222222222;0.265125871523919;0.00626041558311437;0.258865455940805;0;0;0;0.328143627880911;0.00603301156720647;0.322110616313704;0;0;0;0.328143627880911;0.00603301156720647;0.322110616313704
4;Lagoinha_250;Lagoinha;0;0;250;Trail_twohundredfifty;5;5;0;1.47611430877221;1.47133367189704;0;0,260416667;0,260416667;0;0.294016770982368;0.0964641523829094;0.197552618599459;0;0;0;0.339821401822147;0.0938741475024302;0.245947254319717;0;0;0;0.339821401822147;0.0938741475024302;0.245947254319717
5;Lagoinha_Control_50;Lagoinha;50;293;NA;CTRL_fifty;10;8;2;2.27618256948568;1.97505133318591;1.02188495988394;0.05;0.166666666666667;0.333333333333333;0.324599602415585;0.103890299640694;0.220709302774891;1;1;0;0.328266607567019;0.0436824504525427;0.284584157114477;1;1;0;0.328266607567019;0.0436824504525427;0.284584157114477
6;Lagoinha_Control_250;Lagoinha;235;50;NA;CTRL_twohundredfifty;8;8;0;1.8563882673588;1.86757002264321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Mist_Negros_0;Mistérios_Negros;0;0;0;Trail_zero;17;10;7;3.20209983661319;2.26229461828959;2.09688257972405;0.05;0.02;0.03;0.36688340003785;0.0774255697580709;0.289457830279779;0,052083333;0.05;0.25;0.455467493593868;0.0035471958272891;0.451920297766579;0,052083333;0.05;0.25;0.455467493593868;0.0035471958272891;0.451920297766579
8;Mist_Negros_50;Mistérios_Negros;0;-25;50;Trail_fifty;11;7;4;2.21843229232056;1.71268982522867;1.09687656101801;0.588235294117647;0.117647058823529;0.470588235294118;0.332000944890009;0.0317744436831163;0.300226501206892;0.833333333333333;0.166666666666667;0.666666666666667;0.353140542714369;0.0856983245738064;0.267442218140563;0.833333333333333;0.166666666666667;0.666666666666667;0.353140542714369;0.0856983245738064;0.267442218140563
9;Mist_Negros_250;Mistérios_Negros;0;0;250;Trail_twohundredfifty;16;11;5;2.7998535038092;2.3221283141492;1.15746573925761;0.388888888888889;0.166666666666667;0.222222222222222;0.279334305953154;0.0258987517128658;0.253435554240288;0.04;0.04;0;0.282217990585786;0.0180055687365549;0.264212421849231;0.04;0.04;0;0.282217990585786;0.0180055687365549;0.264212421849231
10;Mist_Negros_Max;Mistérios_Negros;0;25;1010;Trail_Max;11;10;1;2.11233659954593;2.01009009448983;0.510942479941969;0.588235294117647;0.117647058823529;0.470588235294118;0.418262936519164;0.0637438491919876;0.354519087327176;1;0.05;0.05;0.344779810780799;0.00282188312053024;0.341957927660269;1;0.05;0.05;0.344779810780799;0.00282188312053024;0.341957927660269
