MF;SPECIES;FAMILY;FAMILY;N/E/I;IND/NONNAIND;HABITATNALeaves, branches, flowers, seeds, fruits (surface);HABITATNAinside stems, roots, fruits, pods, fungi;HABITATNAGround;HABITATNAUnder stones, bark, twigs;HABITATNADecaying matter;HABITATNASubterranean;Female min;Female max;Female Avg;Male min;Male max;Male Avg;Dispersal;Verticality;Nocturnality;Capture web;Sensing web;No web;Tube web;Sheet web;Space web;Orb web ;Ambush hunter;Active hunter;Stenophagous / Not Euryphagous
2;Tenuiphantes_miguelensis;Wunderlich    ;Linyphiidae;N;IND;1;0;0;0;1;0;2;3;2.5;1.8;2.2;2;F;0.07;0.81;1;0;0;0;1;1;0;0;0;0
3;Xysticus_cor;Canestrini    ;Thomisidae;N;IND;1;0;0;0;0;0;4.2;5.9;5.05;2.4;4.1;3.25;O;0.62;0.58;0;0;1;0;0;0;0;1;0;0
5;Rugathodes_acoreensis;Wunderlich    ;Theridiidae;E ;IND;1;0;0;0;0;0;1.7;2.1;1.9;1.5;2;1.75;O;0.58;0.61;1;0;0;0;0;1;0;0;0;0
17;Pardosa_acorensis;Simon    ;Lycosidae;E ;IND;1;0;1;0;1;0;5.6;8.5;7.05;4.6;6.4;5.5;O;0;1;0;0;1;0;0;0;0;0;1;0
20;Palliduphantes_schmitzi;(Kulczynski)    ;Linyphiidae;N;IND;1;0;0;0;1;0;1.5;1.9;1.7;1.2;1.8;1.5;F;0.02;0.5;1;0;0;0;1;1;0;0;0;0
39;Pisaura_acoreensis;Wunderlich    ;Pisauridae;E ;IND;1;0;1;0;0;0;7.3;12.1;9.7;8.5;10.3;9.4;R;0.25;1;0;0;1;0;0;0;0;0;1;0
50;Canariphantes_acoreensis;(Wunderlich)    ;Linyphiidae;E ;IND;1;0;0;0;1;0;2.5;3.6;3.05;1.7;2.4;2.05;F;0.15;1;1;0;0;0;1;1;0;0;0;0
117;Lathys_dentichelis;(Simon)    ;Dictynidae;N;IND;0;0;1;1;0;0;1.6;2.5;2.05;1.9;3.3;2.6;R;0.94;0.53;0;0;1;0;0;0;0;0;1;0
134;Gibbaranea_occidentalis;Wunderlich    ;Araneidae;E ;IND;1;0;0;0;0;0;5.3;8.5;6.9;3.2;5.5;4.35;F;0.72;0.75;1;0;0;0;0;0;1;0;0;0
179;Sancus_acoreensis;(Wunderlich)    ;Tetragnathidae;E ;IND;1;0;0;0;0;0;3.4;4.3;3.85;2.5;3.2;2.85;O;0.66;0.66;1;0;0;0;0;0;1;0;0;0
181;Savigniorrhipis_acoreensis;Wunderlich    ;Linyphiidae;E ;IND;1;0;0;0;1;0;1.6;2;1.8;1.5;1.75;1.625;F;0.96;0.57;0;0;1;0;0;0;0;0;1;0
198;Macaroeris_cata;(Blackwall)    ;Salticidae;N;IND;1;0;1;0;0;0;4.4;6;5.2;3.5;5.4;4.45;O;0.86;0.62;0;0;1;0;0;0;0;0;1;0
208;Lasaeola_oceanica;Simon    ;Theridiidae;E ;IND;1;0;0;0;0;0;1.6;1.9;1.75;1.1;1.7;1.4;O;0.67;0.67;0;0;1;0;0;0;0;0;1;1
241;Theridion_musivivum;Schmidt    ;Theridiidae;N;IND;1;0;0;0;0;0;2.5;3;2.75;NA;NA;NA;O;0.67;1;1;0;0;0;0;1;0;0;0;0
312;Acorigone_acoreensis;(Wunderlich)    ;Linyphiidae;E ;IND;1;0;0;0;0;0;1.2;1.3;1.25;1.2;1.3;1.25;F;0.9;0.36;0;0;1;0;0;0;0;0;1;0
421;Walckenaeria_grandis;(Wunderlich)    ;Linyphiidae;E ;IND;1;0;0;0;1;0;2.3;2.5;2.4;1.7;2.1;1.9;F;0.01;1;0;0;1;0;0;0;0;0;1;0
442;Minicia_floresensis;Wunderlich    ;Linyphiidae;E ;IND;1;0;0;0;1;0;1.5;2.2;1.85;1.6;1.8;1.7;F;0.38;0.59;0;0;1;0;0;0;0;0;1;0
516;Clubiona_decora;Blackwall    ;Clubionidae;N;IND;1;0;0;1;1;0;3.8;5.5;4.65;3.5;3.5;3.5;R;0.86;0.85;0;0;1;0;0;0;0;0;1;0
526;Neon_acoreensis;Wunderlich    ;Salticidae;E ;IND;1;0;0;0;1;0;1.8;2.2;2;1.5;1.5;1.5;O;1;0;0;0;1;0;0;0;0;0;1;0
697;Microlinyphia_johnsoni;(Blackwall)    ;Linyphiidae;N;IND;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
793;Macaroeris_diligens;(Blackwall)    ;Salticidae;N;IND;1;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1402;Macaroeris_diligens;(Blackwall)    ;Salticidae;N;IND;1;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
