,ID,dist_begin,dist_trail,resp
contr1.1,A,0,0,1
contr1.2,A,1,0,1
contr1.3,A,2,0,1
contr1.4,A,3,0,1
contr1.5,A,2,2,1
contr1.6,A,3,2,1
contr2.1,B,0,0,2
contr2.2,B,1,0,2
contr2.3,B,2,0,2
contr2.4,B,3,0,2
contr2.5,B,2,2,2
contr2.6,B,3,2,2
begin1.1,C,0,0,1
begin1.2,C,1,0,2
begin1.3,C,2,0,3
begin1.4,C,3,0,4
begin1.5,C,2,2,3
begin1.6,C,3,2,4
begin2.1,D,0,0,2
begin2.2,D,1,0,4
begin2.3,D,2,0,6
begin2.4,D,3,0,8
begin2.5,D,2,2,6
begin2.6,D,3,2,8
2var1.1,E,0,0,1
2var1.2,E,1,0,2
2var1.3,E,2,0,3
2var1.4,E,3,0,4
2var1.5,E,2,2,6
2var1.6,E,3,2,8
2var2.1,F,0,0,2
2var2.2,F,1,0,4
2var2.3,F,2,0,6
2var2.4,F,3,0,8
2var2.5,F,2,2,12
2var2.6,F,3,2,16
