,ForestID,Dist_trail,Dist_edge,Dist_trail_beginning,Dist_trail_std,Dist_edge_std,Dist_trail_beginning_std,all.2017,all.2019,inv.2017,inv.2019,subtr.inv,percent.inv.2017,percent.inv.2019,Abund 2017,Abund 2019,Inv 2017,Inv 2019,subtr.inv,percent.inv.2017,percent.inv.2019,Plot1 percent 2017,Plot 2 percent 2017,Plot 3 percent 2017,Plot1 percent 2019,Plot 2 percent 2019,Plot 3 percent 2019,Serr % 2017,Serr % 2019
2017.guil.moniz.0.1,Guilherme_moniz,0,0,0,0,0,0,4,9,0,0,0,0,0,25,40,0,0,0,0,0,0,,,0,,,104.6642475,98.81596402
2017.guil.moniz.0.2,Guilherme_moniz,2,2,0,0.096553877,0.020433078,0,5,5,1,0,-1,20,0,15,22,3,0,-3,20,0,,20,,,0,,,
2017.guil.moniz.0.3,Guilherme_moniz,12,12,0,0.579323261,0.122598465,0,4,7,1,0,-1,25,0,17,25,1,0,-1,5.882352941,0,,,5.882352941,,,0,,
2017.serreta .0.1,Lagoinha,0,0,0,0,0,0,17,15,2,1,-1,11.76470588,6.666666667,80,88,9,9,0,11.25,10.22727273,11.25,,,10.22727273,,,,
2017.serreta .0.2,Lagoinha,2,2,0,0.096553877,0.020433078,0,11,10,2,1,-1,18.18181818,10,42,48,8,12,4,19.04761905,25,,19.04761905,,,25,,,
2017.serreta .0.3,Lagoinha,12,12,0,0.579323261,0.122598465,0,10,12,1,2,1,10,16.66666667,41,56,6,8,2,14.63414634,14.28571429,,,14.63414634,,,14.28571429,,
2017.serreta .50.1,Lagoinha,0,50,50,0,0.510826939,0.148585991,11,12,2,0,-2,18.18181818,0,36,67,8,0,-8,22.22222222,0,22.22222222,,,0,,,,
2017.serreta .50.2,Lagoinha,2,50,50,0.096553877,0.510826939,0.148585991,6,11,0,1,1,0,9.090909091,38,35,0,6,6,0,17.14285714,,0,,,17.14285714,,,
2017.serreta .50.3,Lagoinha,12,50,50,0.579323261,0.510826939,0.148585991,8,11,0,1,1,0,9.090909091,33,35,0,6,6,0,17.14285714,,,0,,,17.14285714,,
2017.serreta .250.1,Lagoinha,0,250,250,0,2.554134693,0.742929954,10,9,0,0,0,0,0,77,70,0,0,0,0,0,0,,,0,,,,
2017.serreta .250.2,Lagoinha,2,250,250,0.096553877,2.554134693,0.742929954,8,11,0,1,1,0,9.090909091,48,51,0,1,1,0,1.960784314,,0,,,1.960784314,,,
2017.serreta .250.3,Lagoinha,12,250,250,0.579323261,2.554134693,0.742929954,9,9,1,1,0,11.11111111,11.11111111,43,48,5,6,1,11.62790698,11.62790698,,,11.62790698,,,11.62790698,,
2017.serreta .Control 50.2,Lagoinha,70,293,300,3.379385689,2.99344586,0.891515944,11,13,0,1,1,0,7.692307692,62,70,0,1,1,0,1.428571429,,0,,,1.428571429,,MN % 2017,MN % 2019
2017.mist.negros.0.1,Mistérios_Negros,0,0,0,0,0,0,4,4,0,0,0,0,0,25,9,0,0,0,0,0,0,,,0,,,142.1052632,121.7553191
2017.mist.negros.0.2,Mistérios_Negros,2,2,0,0.096553877,0.020433078,0,6,7,0,1,1,0,14.28571429,24,20,12,6,-6,50,30,,50,,,30,,,
2017.mist.negros.0.3,Mistérios_Negros,12,12,0,0.579323261,0.122598465,0,8,7,0,1,1,0,14.28571429,19,16,8,2,-6,42.10526316,12.5,,,42.10526316,,,12.5,,
2017.mist.negros.50.1,Mistérios_Negros,0,-25,50,0,-0.255413469,0.148585991,4,8,0,1,1,0,12.5,20,47,0,2,2,0,4.255319149,0,,,4.255319149,,,,
2017.mist.negros.50.2,Mistérios_Negros,2,-25,50,0.096553877,-0.255413469,0.148585991,2,2,1,1,0,50,50,2,4,1,3,2,50,75,,50,,,75,,,
2017.mist.negros.50.3,Mistérios_Negros,12,-25,50,0.579323261,-0.255413469,0.148585991,5,4,0,0,0,0,0,22,27,0,0,0,0,0,,,0,,,0,,
2017.mist.negros.250.1,Mistérios_Negros,0,0,250,0,0,0.742929954,6,6,0,0,0,0,0,55,67,0,0,0,0,0,0,,,0,,,,
2017.mist.negros.250.2,Mistérios_Negros,2,2,250,0.096553877,0.020433078,0.742929954,4,5,0,0,0,0,0,37,47,0,0,0,0,0,,0,,,0,,,
2017.mist.negros.250.3,Mistérios_Negros,12,12,250,0.579323261,0.122598465,0.742929954,4,5,0,0,0,0,0,48,50,0,0,0,0,0,,,0,,,0,,
2017.mist.negros.max.1,Mistérios_Negros,0,25,960,0,0.255413469,2.852851022,2,3,0,0,0,0,0,24,25,0,0,0,0,0,0,,,0,,,,
2017.mist.negros.max.2,Mistérios_Negros,2,25,960,0.096553877,0.255413469,2.852851022,5,7,0,0,0,0,0,26,29,0,0,0,0,0,,0,,,0,,,
2017.mist.negros.max.3,Mistérios_Negros,12,25,960,0.579323261,0.255413469,2.852851022,5,6,0,0,0,0,0,24,12,0,0,0,0,0,,,0,,,0,,
2017.mist.negros.control50.2,Mistérios_Negros,70,70,200,3.379385689,0.715157714,0.594343963,9,8,0,0,0,0,0,132,63,0,0,0,0,0,,0,,,0,,,
2017.malhadas.0.1,Pico_Vara,0,0,0,0,0,0,19,,3,,,15.78947368,,70,,25,,,35.71428571,,33.47222222,139.047619,74.24966942,14.48259188,150.5322129,55.55647841,,
2017.malhadas.0.2,Pico_Vara,2,2,0,0.096553877,0.020433078,0,12,,2,,,16.66666667,,50,,5,,,10,,,,,,,,,
2017.malhadas.0.3,Pico_Vara,12,12,0,0.579323261,0.122598465,0,4,,0,,,0,,17,,0,,,0,Serreta,33.47222222,39.04761905,32.14440626,10.22727273,45.53221289,43.05647841,,
2017.malhadas.50.1.,Pico_Vara,0,14,50,0,0.143031543,0.148585991,15,,2,,,13.33333333,,95,,24,,,25.26315789,MistNeg,0,100,42.10526316,4.255319149,105,12.5,,
2017.malhadas.50.2,Pico_Vara,2,12,50,0.096553877,0.122598465,0.148585991,14,,3,,,21.42857143,,61,,8,,,13.1147541,,,,,,,,,
2017.malhadas.50.3,Pico_Vara,12,2,50,0.579323261,0.020433078,0.148585991,11,,2,,,18.18181818,,52,,4,,,7.692307692,,,,,,,,,
2017.malhadas.250.1,Pico_Vara,0,0,250,0,0,0.742929954,21,,4,,,19.04761905,,79,,20,,,25.3164557,,,,,,,,,
2017.malhadas.250.2,Pico_Vara,2,2,250,0.096553877,0.020433078,0.742929954,9,,3,,,33.33333333,,43,,12,,,27.90697674,,,,,,,,,
2017.malhadas.250.3,Pico_Vara,12,12,250,0.579323261,0.122598465,0.742929954,7,,2,,,28.57142857,,18,,7,,,38.88888889,,,,,,,,,
2017.malhadas.max.1,Pico_Vara,0,80,400,0,0.817323102,1.188687926,20,,2,,,10,,110,,27,,,24.54545455,,,,,,,,,
2017.malhadas.max.2,Pico_Vara,2,78,400,0.096553877,0.796890024,1.188687926,11,,2,,,18.18181818,,76,,20,,,26.31578947,,,,,,,,,
2017.malhadas.max.3,Pico_Vara,12,68,400,0.579323261,0.694724637,1.188687926,14,,2,,,14.28571429,,80,,16,,,20,,,,,,,,,
2017.malhadas.control50.2,Pico_Vara,70,124,50,3.379385689,1.266850808,0.148585991,13,,2,,,15.38461538,,61,,14,,,22.95081967,,,,,,,,,
2019.guil.moniz.0.1,Guilherme_moniz,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019.guil.moniz.0.2,Guilherme_moniz,2,0,0,0.096553877,0,0,,,,,,,,,,,,,,,,,,,,,,
2019.guil.moniz.0.3,Guilherme_moniz,12,0,0,0.579323261,0,0,,,,,,,,,,,,,,,,,,,,,,
2019.serreta .0.1,Lagoinha,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019.serreta .0.2,Lagoinha,2,2,0,0.096553877,0.020433078,0,,,,,,,,,,,,,,,,,,,,,,
2019.serreta .0.3,Lagoinha,12,12,0,0.579323261,0.122598465,0,,,,,,,,,,,,,,,,,,,,,,
2019.serreta .50.1,Lagoinha,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2019.serreta .50.2,Lagoinha,2,2,0,0.096553877,0.020433078,0,,,,,,,,,,,,,,,,,,,,,,
2019.serreta .50.3,Lagoinha,12,12,0,0.579323261,0.122598465,0,,,,,,,,,,,,,,,,,,,,,,
2019.serreta .250.1,Lagoinha,0,50,50,0,0.510826939,0.148585991,,,,,,,,,,,,,,,,,,,,,,
2019.serreta .250.2,Lagoinha,2,50,50,0.096553877,0.510826939,0.148585991,,,,,,,,,,,,,,,,,,,,,,
2019.serreta .250.3,Lagoinha,12,50,50,0.579323261,0.510826939,0.148585991,,,,,,,,,,,,,,,,,,,,,,
2019.serreta .Control 50.2,Lagoinha,0,250,250,0,2.554134693,0.742929954,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.0.1,Mistérios_Negros,2,250,250,0.096553877,2.554134693,0.742929954,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.0.2,Mistérios_Negros,12,250,250,0.579323261,2.554134693,0.742929954,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.0.3,Mistérios_Negros,70,293,300,3.379385689,2.99344586,0.891515944,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.50.1,Mistérios_Negros,0,-25,50,0,-0.255413469,0.148585991,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.50.2,Mistérios_Negros,2,-25,50,0.096553877,-0.255413469,0.148585991,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.50.3,Mistérios_Negros,12,-25,50,0.579323261,-0.255413469,0.148585991,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.250.1,Mistérios_Negros,0,0,250,0,0,0.742929954,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.250.2,Mistérios_Negros,2,2,250,0.096553877,0.020433078,0.742929954,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.250.3,Mistérios_Negros,12,12,250,0.579323261,0.122598465,0.742929954,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.max.1,Mistérios_Negros,0,25,960,0,0.255413469,2.852851022,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.max.2,Mistérios_Negros,2,25,960,0.096553877,0.255413469,2.852851022,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.max.3,Mistérios_Negros,12,25,960,0.579323261,0.255413469,2.852851022,,,,,,,,,,,,,,,,,,,,,,
2019.mist.negros.control50.2,Mistérios_Negros,70,70,200,3.379385689,0.715157714,0.594343963,,,,,,,,,,,,,,,,,,,,,,
