TrailName,ForestID,Dist_trail ,Dist_edge,Dist_trail_beginning
Guilherme_Moniz,Guilherme_Moniz,0,0,0
Lagoinha_0,Lagoinha,0,0,50
Lagoinha_50,Lagoinha,0,0,250
Lagoinha_250,Lagoinha,0,0,250
Lagoinha_Control_50,Lagoinha,70,293,250
Lagoinha_Control_250,Lagoinha,235,50,250
Mist_Negros_0,Mistérios_Negros,0,0,0
Mist_Negros_250,Mistérios_Negros,0,0,200
Mist_Negros_Max,Mistérios_Negros,0,25,960
Mist_Negros_Control_50,Mistérios_Negros,70,70,200
Mist_Negros_Control_250,Mistérios_Negros,600,600,1880
Sta_Barbara_0,Santa_Barbara,0,510,0
Sta_Barbara_50,Santa_Barbara,0,481,50
Sta_Barbara_250,Santa_Barbara,0,436,250
Sta_Barbara_Max,Santa_Barbara,0,404,401
Sta_Barbara_Control_50,Santa_Barbara,70,441,401
Sta_Barbara_Control_250,Santa_Barbara,300,600,401
Malhadas_0,Pico_Vara,0,0,0
Malhadas_50,Pico_Vara,0,14,50
Malhadas_250,Pico_Vara,0,0,250
Malhadas_Max,Pico_Vara,0,80,400
