MF;SPECIES;FAMILY;FAMILY;N/E/I;IND/NONNAIND;HABITATNALeaves, branches, flowers, seeds, fruits (surface);HABITATNAinside stems, roots, fruits, pods, fungi;HABITATNAGround;HABITATNAUnder stones, bark, twigs;HABITATNADecaying matter;HABITATNASubterranean;Female min;Female max;Female Avg;Male min;Male max;Male Avg;Dispersal;Verticality;Nocturnality;Capture web;Sensing web;No web;Tube web;Sheet web;Space web;Orb web ;Ambush hunter;Active hunter;Stenophagous / Not Euryphagous
2;Tenuiphantes_miguelensis;Wunderlich    ;Linyphiidae;N;IND;1;0;0;0;1;0;2;3;2.05;1.08;2.02;2;2;0.07;0,05625;1;0;0;0;1;1;0;0;0;0
3;Xysticus_cor;Canestrini    ;Thomisidae;N;IND;1;0;0;0;0;0;4.02;5.09;5.05;2.04;4.01;3.25;1;0,043055556;0.58;0;0;1;0;0;0;0;1;0;0
5;Rugathodes_acoreensis;Wunderlich    ;Theridiidae;E ;IND;1;0;0;0;0;0;1.07;2.01;1.09;1.05;2;0,09375;1;NA;0,042361111;1;0;0;0;0;1;0;0;0;0
17;Pardosa_acorensis;Simon    ;Lycosidae;E ;IND;1;0;1;0;1;0;5.06;8.05;7.05;4.06;6.04;5.05;1;0;1;0;0;1;0;0;0;0;0;1;0
20;Palliduphantes_schmitzi;(Kulczynski)    ;Linyphiidae;N;IND;1;0;0;0;1;0;1.05;1.09;1.07;1.02;1.08;1.05;2;0.02;0.05;1;0;0;0;1;1;0;0;0;0
21;Tenuiphantes_tenuis;(Blackwall)    ;Linyphiidae;I;NONNAIND;1;0;0;0;1;0;2;4.03;3.15;1.08;3.02;2.05;2;0.12;0,04375;1;0;0;0;1;1;0;0;0;0
24;Mermessus_fradeorum;(Berland)    ;Linyphiidae;I;NONNAIND;1;0;0;0;1;0;2.09;3;0,149305556;2.06;3.01;0,142361111;2;NA;NA;0;0;1;0;0;0;0;0;1;0
28;Dysdera_crocata;C. L. Koch  ;Dysderidae;I;NONNAIND;0;0;1;1;1;0;8.05;15;0,510416667;8.05;11.01;9.08;0;0;NA;0;0;1;0;0;0;0;0;1;1
39;Pisaura_acoreensis;Wunderlich    ;Pisauridae;E ;IND;1;0;1;0;0;0;7.03;12.01;9.07;8.05;10.03;9.04;0;0.25;1;0;0;1;0;0;0;0;0;1;0
50;Canariphantes_acoreensis;(Wunderlich)    ;Linyphiidae;E ;IND;1;0;0;0;1;0;2.05;3.06;3.05;1.07;2.04;2.05;2;0.15;1;1;0;0;0;1;1;0;0;0;0
117;Lathys_dentichelis;(Simon)    ;Dictynidae;N;IND;0;0;1;1;0;0;1.06;2.05;2.05;1.09;3.03;2.06;0;0,065277778;0.53;0;0;1;0;0;0;0;0;1;0
133;Metellina_merianae;(Scopoli)    ;Tetragnathidae;I;NONNAIND;1;0;0;0;0;0;5.06;12;8.08;4.09;8;6.45;1;0,045833333;0,064583333;1;0;0;0;0;0;1;0;0;0
134;Gibbaranea_occidentalis;Wunderlich    ;Araneidae;E ;IND;1;0;0;0;0;0;5.03;8.05;6.09;3.02;5.05;4.35;2;0,05;0,052083333;1;0;0;0;0;0;1;0;0;0
140;Ero_furcata;(Villers)    ;Mimetidae;I;NONNAIND;1;0;0;0;0;0;2;4.08;3.04;2.05;3.02;0,142361111;0;0.32;0.08;0;0;1;0;0;0;0;0;1;1
179;Sancus_acoreensis;(Wunderlich)    ;Tetragnathidae;E ;IND;1;0;0;0;0;0;3.04;4.03;0,184027778;2.05;3.02;0,142361111;1;0,045833333;0,045833333;1;0;0;0;0;0;1;0;0;0
181;Savigniorrhipis_acoreensis;Wunderlich    ;Linyphiidae;E ;IND;1;0;0;0;1;0;1.06;2;1.08;1.05;0,09375;0,475694444;2;0,066666667;0.57;0;0;1;0;0;0;0;0;1;0
198;Macaroeris_cata;(Blackwall)    ;Salticidae;N;IND;1;0;1;0;0;0;4.04;6;5.02;3.05;5.04;4.45;1;0,059722222;0,043055556;0;0;1;0;0;0;0;0;1;0
208;Lasaeola_oceanica;Simon    ;Theridiidae;E ;IND;1;0;0;0;0;0;1.06;1.09;0,09375;1.01;1.07;1.04;1;0,046527778;0,046527778;0;0;1;0;0;0;0;0;1;1
