MF;SPECIES;FAMILY;FAMILY;N/E/I;IND/NONNAIND;HABITATNALeaves, branches, flowers, seeds, fruits (surface);HABITATNAinside stems, roots, fruits, pods, fungi;HABITATNAGround;HABITATNAUnder stones, bark, twigs;HABITATNADecaying matter;HABITATNASubterranean;Female min;Female max;Female Avg;Male min;Male max;Male Avg;Dispersal;Verticality;Nocturnality;Capture web;Sensing web;No web;Tube web;Sheet web;Space web;Orb web ;Ambush hunter;Active hunter;Stenophagous / Not Euryphagous
21;Tenuiphantes_tenuis;(Blackwall)    ;Linyphiidae;I;NONNAIND;1;0;0;0;1;0;2;4.03;3.15;1.08;3.02;2.05;F;0.12;0.04375;1;0;0;0;1;1;0;0;0;0
24;Mermessus_fradeorum;(Berland)    ;Linyphiidae;I;NONNAIND;1;0;0;0;1;0;2.09;3;0.149305555555556;2.06;3.01;0.142361111111111;F;NA;NA;0;0;1;0;0;0;0;0;1;0
28;Dysdera_crocata;C. L. Koch  ;Dysderidae;I;NONNAIND;0;0;1;1;1;0;8.05;15;0.510416666666667;8.05;11.01;9.08;R;0;NA;0;0;1;0;0;0;0;0;1;1
133;Metellina_merianae;(Scopoli)    ;Tetragnathidae;I;NONNAIND;1;0;0;0;0;0;5.06;12;8.08;4.09;8;6.45;O;0.0458333333333333;0.0645833333333333;1;0;0;0;0;0;1;0;0;0
140;Ero_furcata;(Villers)    ;Mimetidae;I;NONNAIND;1;0;0;0;0;0;2;4.08;3.04;2.05;3.02;0.142361111111111;R;0.32;0.08;0;0;1;0;0;0;0;0;1;1
228;Mangora_acalypha;(Walckenaer)    ;Araneidae;I;NONNAIND;1;0;0;0;0;0;2.04;6;4.02;2;3.05;0.135416666666667;F;0.48;0.0423611111111111;1;0;0;0;0;0;1;0;0;0
233;Oedothorax_fuscus;(Blackwall)    ;Linyphiidae;I;NONNAIND;1;0;0;0;0;0;2.01;3;2.55;1.05;2.03;1.09;F;0.33;0.06;0;0;1;0;0;0;0;0;1;0
234;Erigone_autumnalis;Emerton    ;Linyphiidae;I;NONNAIND;1;0;0;0;1;0;1.03;1.07;1.05;1.01;1.05;1.03;F;0.05;1;0;0;1;0;0;0;0;0;1;0
249;Mermessus_bryantae;(Ivie & Barrows)  ;Linyphiidae;I;NONNAIND;1;0;0;0;1;0;1.03;2;0.0868055555555555;1.04;2;1.07;F;0.0465277777777778;1;0;0;1;0;0;0;0;0;1;0
250;Xysticus_nubilus;Simon    ;Thomisidae;I;NONNAIND;1;0;0;0;0;0;5.02;7;6.01;3;4;3.05;O;NA;NA;0;0;1;0;0;0;0;1;0;0
260;Prinerigone_vagans;(Audouin)    ;Linyphiidae;I;NONNAIND;1;0;0;0;0;0;1.08;3;2.04;1.02;2.08;2;F;0.29;0;0;0;1;0;0;0;0;0;1;0
330;Meioneta_fuscipalpa;(C.L. Koch)   ;Linyphiidae;I;NONNAIND;1;0;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
488;Cryptachaea_blattea;(Urquhart)    ;Theridiidae;I;NONNAIND;1;0;0;0;0;0;2.02;3.06;2.09;1.07;2.04;2.05;O;0.11;0.0479166666666667;1;0;0;0;0;1;0;0;0;0
559;Rhomphaea_nasica;(Simon)    ;Theridiidae;I;NONNAIND;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
618;Nigma_puella;(Simon)    ;Dictynidae;I;NONNAIND;1;0;0;0;0;0;2;3.04;2.07;1.06;2.08;2.02;R;0.0611111111111111;0.43;1;0;0;0;0;1;0;0;0;0
735;Neriene_clathrata;(Sundevall)    ;Linyphiidae;I;NONNAIND;1;0;0;0;0;0;3;5.05;4.25;3.06;4.08;4.02;F;0.44;1;1;0;0;0;1;1;0;0;0;0
869;Steatoda_nobilis;(Thorell)    ;Theridiidae;I;NONNAIND;1;0;0;0;0;0;7.06;14;10.08;5.06;11.04;8.05;O;0.0465277777777778;0.0680555555555555;1;0;0;0;0;1;0;0;0;0
927;Cheiracanthium_erraticum;(Walckenaer)    ;Eutichuridae;I;NONNAIND;1;0;0;0;0;0;7.09;9.03;8.06;5;8.03;0.295138888888889;R;0.05625;0.53;0;0;1;0;0;0;0;0;1;0
1309;Neoscona_crucifera;(Lucas)    ;Araneidae;I;NONNAIND;0;0;0;0;0;0;4.07;10.07;7.07;6.02;7.07;0.315972222222222;F;0.06;0.0631944444444444;1;0;0;0;0;0;1;0;0;0
