TrailName;perc_alpha;per_Fabund;all_abund;nat_abund;nind_abund;perc_abund
Guilherme_Moniz;0.52173913;0.315588749;221;189;32;0.85520362
Lagoinha_0;0.727272727;0.427049954;99;91;8;0.919191919
Lagoinha_50;0.9999000;0.537149472;135;135;0.00010;0.9999000
Lagoinha_250;0.9999000;0.603192777;117;117;0.00010;0.9999000
Lagoinha_Control_50;0.08;0.440963722;92;90;2;0.97826087
Lagoinha_Control_250;0.9999000;0.511583442;139;139;0.00010;0.9999000
Mist_Negros_0;0.588235294;0.335303415;111;99;12;0.891891892
Mist_Negros_250;4.774305556;0.391961806;147;115;32;0.782312925
Mist_Negros_Max;0.909090909;0.478276406;103;102;1;0.990291262
Mist_Negros_Control_50;0.818181818;0.482596151;167;148;19;0.886227545
Mist_Negros_Control_250;0.769230769;0.443859817;159;114;45;0.716981132
Sta_Barbara_0;0.916666667;0.507848951;134;130;4;0.970149254
Sta_Barbara_50;0.818181818;0.455099142;66;63;3;0.954545455
Sta_Barbara_250;0.857142857;0.509081767;188;176;12;0.936170213
Sta_Barbara_Max;0.785714286;0.435004537;207;184;23;0.888888889
Sta_Barbara_Control_50;0.09;0.501743227;115;113;2;0.982608696
Sta_Barbara_Control_250;0.9999000;0.520561061;154;154;0.00010;0.9999000
Malhadas_0;0.08;0.501853135;87;77;10;0.885057471
Malhadas_50;0.818181818;0.470375136;90;82;8;0.911111111
Malhadas_250;0.916666667;0.489760453;99;96;3;0.96969697
Malhadas_Max;0.818181818;0.45174756;159;157;2;0.987421384
