;V1;cond((Int));disp((Int));cond(Dist_edge_std);cond(Dist_trail_beginning_std);cond(Dist_trail_std);df;logLik;AICc;delta;weight
1;TAlphaAll;2.481427;NA;NA;NA;NA;2;-54.91465;114.496;0;0.468509091
2;TAlphaAll;2.516708;NA;NA;-0.06859341;NA;3;-54.61043;116.6326;2.13665;0.160972027
3;TAlphaAll;2.492804;NA;NA;NA;-0.03569537;3;-54.79695;117.0057;2.509695;0.133580975
4;TAlphaAll;2.508367;NA;-0.0580332;NA;NA;3;-54.80392;117.0196;2.523639;0.132652885
5;TAlphaAll;2.519707;NA;NA;-0.08736404;0.02084132;4;-54.59446;119.6889;5.19295;0.034920718
6;TAlphaAll;2.515062;NA;0.007253229;-0.07182351;NA;4;-54.6095;119.719;5.223036;0.034399345
7;TAlphaAll;2.50247;NA;-0.030402409;NA;-0.02216172;4;-54.78419;120.0684;5.572418;0.0288857
8;TAlphaAll;2.523015;NA;-0.011769638;-0.08596066;0.02513029;5;-54.59266;123.1853;8.689346;0.006079257
9;TAlphaNat;2.202502;NA;NA;NA;NA;2;-45.95565;96.57797;0;0.512138294
10;TAlphaNat;2.188892;NA;NA;0.02293261;NA;3;-45.92424;99.26025;2.682278;0.133948525
11;TAlphaNat;2.191282;NA;0.01826481;NA;NA;3;-45.93711;99.28598;2.70801;0.132236192
12;TAlphaNat;2.198555;NA;NA;NA;0.010216993;3;-45.94752;99.30681;2.728834;0.130866491
13;TAlphaNat;2.18465;NA;0.01076498;0.01893824;NA;4;-45.91874;102.33749;5.759513;0.028755763
14;TAlphaNat;2.187077;NA;NA;0.03437035;-0.012873325;4;-45.91894;102.33788;5.759907;0.028750101
15;TAlphaNat;2.191223;NA;0.01632148;NA;0.003244218;4;-45.9365;102.37299;5.795018;0.028249784
16;TAlphaNat;2.179347;NA;0.0168606;0.03483177;-0.020383524;5;-45.90723;105.81447;9.236493;0.005054849
17;TAlphaNInd;0.8872957;NA;NA;NA;NA;2;-40.95264;86.57195;0;0.31758761
18;TAlphaNInd;1.0242651;NA;NA;-0.3051701;NA;3;-39.77542;86.9626;0.3906565;0.26123633
19;TAlphaNInd;0.9374397;NA;NA;NA;-0.187222076;3;-40.362;88.13577;1.5638288;0.14530563
20;TAlphaNInd;1.0070485;NA;-0.26653406;NA;NA;3;-40.5473;88.50637;1.9344197;0.12072846
21;TAlphaNInd;0.9902165;NA;0.12499415;-0.3560426;NA;4;-39.74144;89.98287;3.4109276;0.05770189
22;TAlphaNInd;1.0280881;NA;NA;-0.3393979;0.042295917;4;-39.76481;90.02963;3.4576817;0.05636863
23;TAlphaNInd;0.9305648;NA;0.02090989;NA;-0.196934878;4;-40.3614;91.22279;4.650847;0.03104166
24;TAlphaNInd;0.9868395;NA;0.13426769;-0.3526088;-0.008777429;5;-39.74117;93.48234;6.9103914;0.01002977
25;FAlphaAll;0.2074429;NA;NA;NA;NA;3;-31.47552;70.3628;0;0.45276454
26;FAlphaAll;0.2001998;NA;NA;0.01469538;NA;4;-30.71133;71.92266;1.559864;0.207564064
27;FAlphaAll;0.2053435;NA;NA;NA;0.006724596;4;-31.2526;73.00521;2.642411;0.120803656
28;FAlphaAll;0.2039308;NA;0.007620183;NA;NA;4;-31.38142;73.26283;2.900034;0.106203294
29;FAlphaAll;0.2044548;NA;-0.017959021;0.02263989;NA;5;-30.4849;74.9698;4.607004;0.045234957
30;FAlphaAll;0.19932;NA;NA;0.02096601;-0.007085939;5;-30.61047;75.22095;4.85815;0.03989685
31;FAlphaAll;0.2073152;NA;-0.006271223;NA;0.009561746;5;-31.23321;76.46641;6.103619;0.021403677
32;FAlphaAll;0.2040865;NA;-0.016912632;0.02303289;-0.000954503;6;-30.48374;78.96749;8.604693;0.006128963
33;FAlphaNat;0.468554;NA;NA;NA;NA;3;-0.9340902;9.279945;0;0.534838055
34;FAlphaNat;0.4632175;NA;NA;0.00935916;NA;4;-0.7278123;11.955625;2.675679;0.140347892
35;FAlphaNat;0.4706748;NA;-0.004284524;NA;NA;4;-0.9108264;12.321653;3.041708;0.116875598
36;FAlphaNat;0.4680077;NA;NA;NA;0.001528542;4;-0.9260463;12.352093;3.072148;0.115110235
