"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","sep"
"1",0,0.833333333333333,1,1,0.916666666666667,1,0.8,0.846153846153846,0.666666666666667,1,0.916666666666667,0.833333333333333,0.909090909090909,0.916666666666667,0.909090909090909,0.727272727272727,1,1,0.916666666666667,0.916666666666667,0.909090909090909,0.916666666666667,"tab"
"2",0.833333333333333,0,1,1,0.75,1,0.571428571428571,0.6,0.666666666666667,0.666666666666667,0.75,0.5,0.666666666666667,0.75,0.666666666666667,0.8,1,1,0.75,0.333333333333333,0.666666666666667,0.333333333333333,"tab"
"3",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"4",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"5",0.916666666666667,0.75,1,1,0,1,0.714285714285714,1,0.833333333333333,1,1,0.75,1,0.666666666666667,1,1,1,1,0.666666666666667,1,1,0.666666666666667,"tab"
"6",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"7",0.8,0.571428571428571,1,1,0.714285714285714,1,0,0.428571428571429,0.666666666666667,0.857142857142857,0.875,0.75,0.857142857142857,0.714285714285714,0.857142857142857,0.75,1,1,0.875,0.714285714285714,0.857142857142857,0.714285714285714,"tab"
"8",0.846153846153846,0.6,1,1,1,1,0.428571428571429,0,0.714285714285714,0.75,0.8,0.833333333333333,0.75,0.8,0.75,0.6,1,1,1,0.5,0.75,0.8,"tab"
"9",0.666666666666667,0.666666666666667,1,1,0.833333333333333,1,0.666666666666667,0.714285714285714,0,1,0.833333333333333,0.4,0.8,0.833333333333333,0.8,0.666666666666667,1,1,0.833333333333333,0.833333333333333,0.8,0.833333333333333,"tab"
"10",1,0.666666666666667,1,1,1,1,0.857142857142857,0.75,1,0,1,1,1,1,1,1,1,1,1,0.5,1,0.5,"tab"
"11",0.916666666666667,0.75,1,1,1,1,0.875,0.8,0.833333333333333,1,0,0.75,0.5,0.666666666666667,0.5,0.75,1,1,1,0.666666666666667,0.5,1,"tab"
"12",0.833333333333333,0.5,1,1,0.75,1,0.75,0.833333333333333,0.4,1,0.75,0,0.666666666666667,0.75,0.666666666666667,0.8,1,1,0.75,0.75,0.666666666666667,0.75,"tab"
"13",0.909090909090909,0.666666666666667,1,1,1,1,0.857142857142857,0.75,0.8,1,0.5,0.666666666666667,0,0.5,0,0.666666666666667,1,1,1,0.5,0,1,"tab"
"14",0.916666666666667,0.75,1,1,0.666666666666667,1,0.714285714285714,0.8,0.833333333333333,1,0.666666666666667,0.75,0.5,0,0.5,0.75,1,1,1,0.666666666666667,0.5,1,"tab"
"15",0.909090909090909,0.666666666666667,1,1,1,1,0.857142857142857,0.75,0.8,1,0.5,0.666666666666667,0,0.5,0,0.666666666666667,1,1,1,0.5,0,1,"tab"
"16",0.727272727272727,0.8,1,1,1,1,0.75,0.6,0.666666666666667,1,0.75,0.8,0.666666666666667,0.75,0.666666666666667,0,1,1,1,0.75,0.666666666666667,1,"tab"
"17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.5,1,1,1,"tab"
"18",1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"tab"
"19",0.916666666666667,0.75,1,1,0.666666666666667,1,0.875,1,0.833333333333333,1,1,0.75,1,1,1,1,0.5,1,0,1,1,0.666666666666667,"tab"
"20",0.916666666666667,0.333333333333333,1,1,1,1,0.714285714285714,0.5,0.833333333333333,0.5,0.666666666666667,0.75,0.5,0.666666666666667,0.5,0.75,1,1,1,0,0.5,0.666666666666667,"tab"
"21",0.909090909090909,0.666666666666667,1,1,1,1,0.857142857142857,0.75,0.8,1,0.5,0.666666666666667,0,0.5,0,0.666666666666667,1,1,1,0.5,0,1,"tab"
"22",0.916666666666667,0.333333333333333,1,1,0.666666666666667,1,0.714285714285714,0.8,0.833333333333333,0.5,1,0.75,1,1,1,1,1,1,0.666666666666667,0.666666666666667,1,0,"tab"
