"","ForestID","Dist_trail","Dist_edge","Dist_trail_beginning","Dist_trail_std","Dist_edge_std","Dist_trail_beginning_std","alpha.plot1.all","alpha.plot1.inv","plot1.all.btotal","plot1.all.brich","plot1.all.brepl","plot1.inv.btotal","plot1.inv.brich","plot1.inv.brepl"
"2017.guil.moniz.0","Guilherme_moniz","0","0","0","0","0","0","5","0","0","0","0","0","0","0"
"2017.serreta.0","Lagoinha","0","0","0","0","0","0","18","2","0.744186046511628","0.27906976744186","0.465116279069767","0.357142857142857","0.357142857142857","0"
"2017.serreta.50","Lagoinha","0","50","50","0","0.437499572754532","0.152183322905007","12","2","0.721518987341772","0.316455696202532","0.40506329113924","0.533333333333333","0.4","0.133333333333333"
"2017.serreta.250","Lagoinha","0","250","250","0","2.18749786377266","0.760916614525034","11","0","0.927536231884058","0.159420289855072","0.768115942028985","1","1","0"
"2017.serreta.control50","Lagoinha","70","293","300","2.19089023002066","2.56374749634156","0.91309993743004","14","3","0","0","0","0","0","0"
"2017.mist.negros.0","Mistérios_Negros","0","0","0","0","0","0","5","0","0.428571428571429","0.428571428571429","0.428571428571429","0.428571428571429","0.428571428571429","0.428571428571429"
"2017.mist.negros.50","Mistérios_Negros","0","-25","50","0","-0.218749786377266","0.152183322905007","5","0","0.538461538461538","0.538461538461538","0.538461538461538","0.538461538461538","0.538461538461538","0.538461538461538"
"2017.mist.negros.250","Mistérios_Negros","0","0","250","0","0","0.760916614525034","7","0","0.416666666666667","0.416666666666667","0.416666666666667","0.416666666666667","0.416666666666667","0.416666666666667"
"2017.mist.negros.max","Mistérios_Negros","0","25","960","0","0.218749786377266","2.92191979977613","2","0","0.5","0.5","0.5","0.5","0.5","0.5"
"2017.mist.negros.control50","Mistérios_Negros","70","70","200","2.19089023002066","0.612499401856345","0.608733291620027","8","0","0","0","0","0","0","0"
"2017.malhadas.0","Pico_Vara","0","0","0","0","0","0","21","3","0.738317757009346","0.121495327102804","0.616822429906542","0.741935483870968","0.354838709677419","0.387096774193548"
"2017.malhadas.50","Pico_Vara","0","14","50","0","0.122499880371269","0.152183322905007","16","2","0.702479338842975","0.289256198347107","0.413223140495868","0.642857142857143","0.357142857142857","0.285714285714286"
"2017.malhadas.250","Pico_Vara","0","0","250","0","0","0.760916614525034","24","4","0.586538461538462","0.240384615384615","0.346153846153846","0.380952380952381","0.285714285714286","0.0952380952380952"
"2017.malhadas.max","Pico_Vara","0","80","400","0","0.699999316407251","1.21746658324005","21","2","0.625","0.421875","0.203125","0.481481481481481","0.481481481481481","0"
"2017.malhadas.control50","Pico_Vara","70","124","50","2.19089023002066","1.08499894043124","0.152183322905007","13","2","0","0","0","0","0","0"
"2019.guil.moniz.0","Guilherme_moniz","0","0","0","0","0","0","10","0","0","0","0","0","0","0"
"2019.serreta.0","Lagoinha","0","0","0","0","0","0","16","1","0.731034482758621","0.275862068965517","0.455172413793103","1","0","1"
"2019.serreta.50","Lagoinha","0","50","50","0","0.437499572754532","0.152183322905007","13","0","0.849206349206349","0.00793650793650794","0.841269841269841","1","1","0"
"2019.serreta.250","Lagoinha","0","200","250","0","1.74999829101813","0.760916614525034","10","0","0.809917355371901","0","0.809917355371901","1","1","0"
"2019.serreta.control 50","Lagoinha","70","293","300","2.19089023002066","2.56374749634156","0.91309993743004","14","1","0","0","0","0","0","0"
"2019.mist.negros.0","Mistérios_Negros","0","0","0","0","0","0","5","0","0.916666666666667","0.3125","0.604166666666667","0","0","0"
"2019.mist.negros.50","Mistérios_Negros","0","-25","50","0","-0.218749786377266","0.152183322905007","9","1","0.757009345794392","0.00934579439252336","0.747663551401869","1","1","0"
"2019.mist.negros.250","Mistérios_Negros","0","0","250","0","0","0.760916614525034","8","0","0.717741935483871","0.201612903225806","0.516129032258065","0","0","0"
"2019.mist.negros.max","Mistérios_Negros","0","25","960","0","0.218749786377266","2.92191979977613","4","0","0.6625","0.3375","0.325","0","0","0"
"2019.mist.negros.control50","Mistérios_Negros","70","70","200","2.19089023002066","0.612499401856345","0.608733291620027","9","0","0","0","0","0","0","0"
