;V1;cond((Int));disp((Int));cond(Dist_edge_std);cond(Dist_trail_beginning_std);cond(Dist_trail_std);df;logLik;AICc;delta;weight
1;TAlphaAll;2;NA;NA;NA;NA;1;8;5;1;8
2;TAlphaNat;2.203378;NA;NA;NA;NA;2;-39.1633;83.1266;0;0.536505032
3;TAlphaNInd;0.5421416;NA;NA;NA;NA;2;-31.40755;67.61511;0;0.45146845
4;TAlphaNInd;0.6461502;NA;NA;-0.2056058;NA;3;-30.91039;69.53507;1.919961;0.172867429
5;TAlphaEnd;1.724749;NA;NA;NA;NA;2;-34.20482;73.20965;0;0.503074785
6;FAlphaAll;0.2261924;NA;NA;NA;NA;3;-24.46481;56.6439;0;0.57886658
7;FAlphaNat;0.2579161;NA;NA;NA;NA;3;-16.1456;40.00549;0;0.599565562
8;FAlphaNInd;1.0241869;NA;NA;NA;NA;3;-11.85153;31.41734;0;0.600213267
9;FAlphaEnd;0.3811934;NA;NA;NA;NA;3;-14.52328;36.76085;0;0.416239655
10;FAlphaEnd;0.407747;NA;-0.03462232;NA;NA;4;-13.39848;37.87389;1.113043;0.23858836
11;abund.all;4.864967;NA;NA;NA;NA;3;-90.24958;188.2134;0;0.426800428
12;abund.all;4.824543;NA;NA;NA;0.08311365;4;-89.4471;189.9711;1.757674;0.177235506
13;abund.all;4.801532;NA;NA;0.09251623;NA;4;-89.47803;190.033;1.819535;0.171837473
14;abund.nat;4.785638;NA;NA;NA;NA;3;-88.29936;184.313;0;0.538467519
15;abund.nind;2.135955;NA;NA;NA;NA;3;-58.69636;125.107;0;0.526085646
16;abund.end;4.607388;NA;NA;NA;NA;3;-87.99767;183.7096;0;0.565097283
17;prop.Talpha;-1.861708;NA;NA;NA;NA;2;-6.853268;18.50654;0;0.542197539
18;prop.Falpha;-0.1253504;NA;NA;NA;NA;2;-17.10053;39.00106;0;0.544764237
19;prop.abund;-2.652391;NA;NA;NA;NA;2;-4.04765;6,717361111;0;0.525490489
20;prop.end;1.282031;NA;NA;NA;NA;3;17.07327;-26.43226;0;0.50138212
21;all.tax.btotal;2;NA;NA;NA;2;2;3;1;1;8
22;all.tax.brich;-2.105334;NA;NA;NA;-1.197884;4;26.76888;-41.09331;0;0.572958022
23;all.tax.brich;-2.645982;NA;1.0184781;NA;-1.529036;5;28.45249;-39.40498;1.688337;0.24632301
24;all.tax.brepl;-0.9279612;NA;NA;NA;-0.788306;4;14.81809;-17.191745;0;0.595656962
25;nat.tax.btotal;-0.6747076;NA;NA;NA;-0.8489573;4;13.206182;-13.967919;0;0.599076121
26;nat.tax.brich;-3.183075;NA;NA;NA;NA;3;40.3836;-72.3672;0;0.6467599272
27;nat.tax.brepl;-0.8513318;NA;NA;NA;-0.8110532;4;2,788194444;-16.190554;0;0.600101848
28;nind.tax.btotal;-0.01696538;NA;1.1997707;NA;-1.3852113;5;29.6188;-41.73761;0;0.34245381
