;V1;cond((Int));disp((Int));cond(Dist_edge_std);cond(Dist_trail_beginning_std);cond(Dist_trail_std);df;logLik;AICc;delta;weight;1;2
TAlphaAll.glmm.1;TAlphaAll;1;NA;NA;NA;NA;1;8;1;1;8;0.462563297267235;0.305556526279966
TAlphaNat.glmm.2;TAlphaNat;2.202765;NA;NA;NA;NA;2;-44.11104;92.92796;0;0.513564076;0;8.50877002189776e-09
TAlphaNInd.glmm.3;TAlphaNInd;0.5065211;NA;NA;NA;NA;2;-32.81446;70.33481;0;0.474375291;0.367525735714649;0.290332156524785
TAlphaEnd.glmm.4;TAlphaEnd;1.704748;NA;NA;NA;NA;2;-37.8477;80.40129;0;0.463099183;0;1.26118426813093e-09
FAlphaAll.glmm.5;FAlphaAll;0.2256724;NA;NA;NA;NA;3;-26.61274;60.72548;0;0.543488876;0;2.67578814661107e-09
FAlphaNat.glmm.6;FAlphaNat;0.2588801;NA;NA;NA;NA;3;-16.76962;41.03925;0;0.56534228;0.365239500137749;0.284745046202488
FAlphaNInd.glmm.7;FAlphaNInd;1.0426481;NA;NA;NA;NA;3;-9.626986;26.75397;0;0.574261362;0;4.04016375910032e-10
FAlphaEnd.glmm.8;FAlphaEnd;0.3891582;NA;NA;NA;NA;3;-15.2483;37.9966;0;0.344352638;0.27747216099366;0.159715570035079
FAlphaEnd.glmm.9;FAlphaEnd;0.4130013;NA;-0.03792022;NA;NA;4;-13.86065;38.38797;0.3913646;0.283152032;0.147310876213503;0.147301731668713
abund.all.glmm.10;abund.all;4.85515;NA;NA;NA;NA;3;-99.50194;206.5039;0;0.364151239;0.160844481169977;0.16084447002366
abund.all.glmm.11;abund.all;4.792021;NA;NA;0.09740538;NA;4;-98.55598;207.7786;1.274743;0.192519589;0.0766351958127514;0.0757956084393423
abund.all.glmm.12;abund.all;4.81789;NA;NA;NA;0.0847944;4;-98.59157;207.8498;1.345915;0.185789054;0.0698052409113907;0.0677765191722265
abund.all.glmm.13;abund.all;4.79618;NA;0.08855788;NA;NA;4;-98.86706;208.4008;1.896906;0.141050268;0.0872481396330071;0.0850645783335577
abund.nat.glmm.14;abund.nat;4.781222;NA;NA;NA;NA;3;-97.62557;202.7511;0;0.499325913;0.145372452838556;0.141947475284222
abund.end.glmm.15;abund.end;4.595625;NA;NA;NA;NA;3;-97.3311;202.1622;0;0.52063;0.175352420741377;0.173201739559286
abund.nind.glmm.16;abund.nind;2.089417;NA;NA;NA;NA;3;-63.21744;133.9349;0;0.49025337;0.404126397832093;0.403754025598842
prop.Talpha.glmm.17;prop.Talpha;-1.938845;NA;NA;NA;NA;2;-7.240438;19.18676;0;0.524139077;0.253084474994755;0.236246492790348
prop.Falpha.glmm.18;prop.Falpha;-0.1245177;NA;NA;NA;NA;2;-19.011;42.72789;0;0.52541486;0.239031897358382;0.227009842570742
prop.abund.glmm.19;prop.abund;-2.714985;NA;NA;NA;NA;2;-4.301092;13.30807;0;0.503709271;0.38387293995496;0.313066535054508
prop.end.glmm.20;prop.end;1.221961;NA;NA;NA;NA;3;18.36226;-29.22452;0;0.501938155;0.464605663682889;0.426726023251437
all.tax.btotal.glmm.21;all.tax.btotal;1;NA;NA;NA;1;2;1;3;1;8;0.639723658681025;0.600216364005033
all.tax.brich.glmm.22;all.tax.brich;-1.985316;NA;NA;NA;-1.141327;4;27.4827;-43.32904;0;0.63327147;0.674871598504418;0.667051104101064
all.tax.brepl.glmm.23;all.tax.brepl;-1.066362;NA;NA;NA;-0.6274748;4;16.48882;-21.34128;0;0.44932641;0.367317831694471;0.330411760174889
all.tax.brepl.glmm.24;all.tax.brepl;-1.335619;NA;NA;NA;NA;3;13.83042;-19.66084;1.680436;0.1939367;0;2.13587814101857e-10
nat.tax.btotal.glmm.25;nat.tax.btotal;-0.6261392;NA;NA;NA;-1.130358;4;13.848532;-16.060701;0;0.634140722;0.725530037730151;0.688856732838968
nat.tax.btotal.glmm.26;nat.tax.btotal;-0.9422298;NA;0.70349088;NA;-1.455278;5;15.041398;-14.082795;1.977906;0.235878802;0.723206281583401;0.714909191895744
nat.tax.brich.glmm.27;nat.tax.brich;-2.395741;NA;NA;NA;NA;3;35.97926;-63.95852;0;0.536174928;0;4.3448467046403e-11
nat.tax.brepl.glmm.28;nat.tax.brepl;-1.134537;NA;NA;NA;-0.6325439;4;17.06336;-22.49035;0;0.425266633;0.381246827620346;0.32048257789008
