"","V1","cond((Int))","disp((Int))","cond(Dist_edge_std)","cond(Dist_trail_beginning_std)","cond(Dist_trail_std)","df","logLik","AICc","delta","weight"
"1","TAlphaAll",2,NA,NA,NA,NA,1,8,5,1,8
"2","TAlphaAll",5,NA,NA,NA,2,2,4,6,3,7
"3","TAlphaAll",8,NA,3,NA,NA,2,6,7,4,6
"4","TAlphaAll",4,NA,NA,1,NA,2,7,8,5,5
"5","TAlphaAll",1,NA,NA,3,4,3,2,1,6,4
"6","TAlphaAll",6,NA,1,NA,1,3,3,2,7,3
"7","TAlphaAll",7,NA,4,2,NA,3,5,3,8,2
"8","TAlphaAll",3,NA,2,4,3,4,1,4,2,1
"9","TAlphaNat",2.203378,NA,NA,NA,NA,2,-39.1633,83.1266,0,0.536505032
"10","TAlphaNat",2.181753,NA,NA,0.03258305,NA,3,-39.10244,85.91917,2.792566,0.132793172
"11","TAlphaNat",2.189463,NA,0.01942562,NA,NA,3,-39.14457,86.00343,2.876834,0.127314326
"12","TAlphaNat",2.198824,NA,NA,NA,0.010109586,3,-39.15558,86.02544,2.898843,0.125920978
"13","TAlphaNat",2.177718,NA,NA,0.05773141,-0.02809699,4,-39.07743,89.23179,6.105192,0.025342425
"14","TAlphaNat",2.177545,NA,0.00839852,0.0298594,NA,4,-39.09935,89.27563,6.14903,0.024792986
"15","TAlphaNat",2.189385,NA,0.01747326,NA,0.003277223,4,-39.14395,89.36482,6.238219,0.023711655
"16","TAlphaNat",2.166224,NA,0.02021709,0.05931794,-0.037070896,5,-39.06206,93.12412,9.997521,0.003619426
"17","TAlphaNInd",0.5421416,NA,NA,NA,NA,2,-31.40755,67.61511,0,0.45146845
"18","TAlphaNInd",0.6461502,NA,NA,-0.2056058,NA,3,-30.91039,69.53507,1.919961,0.172867429
"19","TAlphaNInd",0.5939835,NA,NA,NA,-0.15062958,3,-31.04955,69.81338,2.198274,0.150410565
"20","TAlphaNInd",0.6573805,NA,-0.17237183,NA,NA,3,-31.21339,70.14107,2.525966,0.127679438
"21","TAlphaNInd",0.6192224,NA,0.06198913,-0.2350371,NA,4,-30.90142,72.87976,5.264649,0.032465605
"22","TAlphaNInd",0.6434576,NA,NA,-0.1774593,-0.03260832,4,-30.90425,72.88542,5.270312,0.032373794
"23","TAlphaNInd",0.5760026,NA,0.0341601,NA,-0.16672144,4,-31.04729,73.17149,5.556386,0.028059082
"24","TAlphaNInd",0.5812782,NA,0.13224871,-0.2006914,-0.07779579,5,-30.87769,76.75539,9.14028,0.004675636
"25","TAlphaEnd",1.724749,NA,NA,NA,NA,2,-34.20482,73.20965,0,0.503074785
"26","TAlphaEnd",1.661663,NA,0.08564193,NA,NA,3,-33.97647,75.66724,2.457589,0.147222424
"27","TAlphaEnd",1.683447,NA,NA,0.06127955,NA,3,-34.06602,75.84633,2.636687,0.134611838
