,dist_begin,dist_trail,resp
contr1.1,0,0,1
contr1.2,1,0,1
contr1.3,2,0,1
contr1.4,3,0,1
contr1.5,2,2,1
contr1.6,3,2,1
contr2.1,0,0,2
contr2.2,1,0,2
contr2.3,2,0,2
contr2.4,3,0,2
contr2.5,2,2,2
contr2.6,3,2,2
begin1.1,0,0,1
begin1.2,1,0,2
begin1.3,2,0,3
begin1.4,3,0,4
begin1.5,2,2,3
begin1.6,3,2,4
begin2.1,0,0,2
begin2.2,1,0,4
begin2.3,2,0,6
begin2.4,3,0,8
begin2.5,2,2,6
begin2.6,3,2,8
2var1.1,0,0,1
2var1.2,1,0,2
2var1.3,2,0,3
2var1.4,3,0,4
2var1.5,2,2,6
2var1.6,3,2,8
2var2.1,0,0,2
2var2.2,1,0,4
2var2.3,2,0,6
2var2.4,3,0,8
2var2.5,2,2,12
2var2.6,3,2,16
