"","Sampl","Ind","Obs","S1","S2","Q1","Q2","Jack1ab","Jack1abP","Jack1in","Jack1inP","Jack2ab","Jack2abP","Jack2in","Jack2inP","Chao1","Chao1P","Chao2","Chao2P","sep"
"1",1,8.58,2.77,0.87,0.64,2.77,0,3.64,4.5022943877551,2.77,5.54,3.87,5.04597193877551,8.31,16.62,2.91666666666667,3.48790068027211,7.73,15.46,"tab"
"2",2,18.31,4.87,1.34,1.13,3.93,0.94,6.21,6.91301061777328,6.835,11.8590678703782,6.42,7.24022768441475,6.835,11.8590678703782,5.21266666666667,5.77333818299856,12.4914285714286,23.133555776808,"tab"
"3",3,27.42,6.37,1.71,1.22,4.36,1.58,8.08,8.91098114082486,9.27666666666667,14.174741238191,8.57,9.54189726048362,10.4666666666667,16.0998403824522,7.00266666666667,7.71318105392919,11.3208968253968,17.9531933341285,"tab"
"4",4,36.84,7.78,1.9,1.39,4.63,2.23,9.68,10.4857416053786,11.2525,15.9504334133946,10.19,11.1135311335062,12.8241666666667,18.4137579971423,8.57833333333333,9.29371135586218,13.1215714285714,19.512795058837,"tab"
"5",5,46.14,8.81,2.13,1.37,4.75,2.45,10.94,11.7984169106109,12.61,17.0602182333835,11.7,12.6797451863074,14.3575,19.716386152576,9.79666666666667,10.5690599359911,13.8730595238095,19.5688116402986,"tab"
"6",6,55.89,9.72,2.36,1.27,4.6,2.87,12.08,12.9845890820832,13.5533333333333,17.3399229260687,13.17,14.2173041788167,15.0893333333333,19.5877097580396,11.0856666666667,11.9418995439016,13.4395357142857,17.5183324129022,"tab"
"7",7,66.99,10.46,2.31,1.22,4.28,3.01,12.77,13.5709936650832,14.1285714285714,17.1401186554375,13.86,14.794466709786,15.3940476190476,18.9078871353264,11.9908333333333,12.7951938993392,13.3354523809524,16.3742028333902,"tab"
"8",8,75.92,10.9,2.45,1.17,4.18,2.82,13.35,14.2111816862578,14.5575,17.3620003693775,14.63,15.6379783124804,15.8796428571429,19.173802039884,12.6225,13.5018158351974,13.9306071428571,16.8623293602236,"tab"
"9",9,88.01,11.47,2.58,1,3.95,2.78,14.05,14.9358635706841,14.9811111111111,17.3412346266271,15.63,16.6736998715217,16.1613888888889,18.9088277049312,13.3791666666667,14.2799029232235,14.215619047619,16.629124727192,"tab"
"10",10,98.78,11.84,2.55,0.93,3.68,2.82,14.39,15.2239053500932,15.152,17.1021546337511,16.01,16.9904282713378,16.0906666666667,18.3332725169316,13.7075,14.5663492671302,14.2028333333333,16.1602269117007,"tab"
"11",11,110.06,12.33,2.71,0.87,3.7,2.52,15.04,15.9322914142988,15.6936363636364,17.5508925903075,16.88,17.9341497020567,16.8652727272727,19.0140008810659,14.45,15.3732855977786,14.9495357142857,16.8973887509594,"tab"
"12",12,118.89,12.56,2.76,0.86,3.69,2.34,15.32,16.2153502970279,15.9425,17.7010662412094,17.22,18.2731255674063,17.2447727272727,19.2775646712253,14.6525,15.560903599186,15.3108333333333,17.1911976989185,"tab"
"13",13,127.48,12.87,2.75,0.95,3.6,2.42,15.62,16.4537341809484,16.1930769230769,17.7760777501553,17.42,18.3854020285159,17.3621794871795,19.1668150858744,14.7508333333333,15.5590356576745,15.2175238095238,16.8321336875313,"tab"
"14",14,137.74,12.99,2.67,0.96,3.26,2.41,15.66,16.4169461100006,16.0171428571429,17.2241354250393,17.37,18.238381509433,16.9046153846154,18.2431328307588,14.7375,15.4637639446315,14.7369285714286,15.9188198543557,"tab"
"15",15,146.66,13.14,2.62,1.04,3.17,2.33,15.76,16.4910100600504,16.0986666666667,17.2487139578888,17.34,18.1777930933813,16.9709047619048,18.2551214335729,14.8783333333333,15.5862989289104,14.9005952380952,16.0488568964123,"tab"
"16",16,156.4,13.33,2.53,1.15,3.01,2.48,15.86,16.5171186875895,16.151875,17.1264991607133,17.24,17.9828246233454,16.7602916666667,17.8219837738282,14.8433333333333,15.4767358393055,14.6566904761905,15.5614386396376,"tab"
"17",17,165.86,13.5,2.46,1.17,2.89,2.44,15.96,16.5558084761282,16.22,17.0718350600383,17.25,17.915725289529,16.7516176470588,17.6667764214099,14.8225,15.3869160935242,14.6541666666667,15.4320570790522,"tab"
"18",18,175.87,13.67,2.44,1.08,2.8,2.41,16.11,16.6767698971857,16.3144444444444,17.0823884061465,17.47,18.1019477918435,16.7871241830065,17.6037432778587,14.955,15.4903034718154,14.6759285714286,15.3704969897868,"tab"
"19",19,184.67,13.81,2.36,1.09,2.64,2.57,16.17,16.6852272521435,16.3110526315789,16.9708640975855,17.44,18.0107662872841,16.501432748538,17.1917108637418,14.9883333333333,15.4746673232903,14.6337619047619,15.2280744061995,"tab"
"20",20,192.84,13.87,2.24,1.09,2.43,2.66,16.11,16.5609878034054,16.1785,16.7206179658254,17.26,17.7535874290545,16.0975,16.6530653263018,14.8316666666667,15.2513002153524,14.4713333333333,14.9552438312603,"tab"
"21",21,200.81,13.93,2.1,1.11,2.23,2.81,16.03,16.4093904721652,16.0538095238095,16.4891242143518,17.02,17.4282680231856,15.6561666666667,16.0894982914129,14.6333333333333,14.9825245038844,14.354,14.7421862546794,"tab"
"22",22,209,14,2,1,2,3,16,16.3265306122449,15.9090909090909,16.2337662337662,17,17.3469387755102,15.1298701298701,15.4386429896634,14.5,14.7959183673469,14.25,14.5408163265306,"tab"
"23",1,8.37,3.35,1.69,0.76,3.35,0,5.04,6.96240470521542,3.35,6.7,5.97,8.56008599773243,10.05,20.1,4.16,5.79047517006803,8.41,16.82,"tab"
"24",2,18.02,6.12,2.87,1.18,5.4,0.72,8.99,11.4068067345533,8.82,16.1395461104812,10.68,13.7091881340591,8.82,16.1395461104812,7.96616666666667,10.155884183642,18.2483333333333,34.8422374543336,"tab"
"25",3,29.09,8.29,3.49,1.33,6.29,1.88,11.78,14.1963061098969,12.4833333333333,20.2447433408596,13.94,16.9135767933281,14.2666666666667,23.2630233138554,10.9603333333333,13.2911301570104,17.8276666666667,30.4066415455219,"tab"
"26",4,39.15,9.83,3.75,1.42,6.49,2.7,13.58,15.84926316083,14.6975,21.6095666122059,15.91,18.671253093615,17.0425,25.220372644185,12.9526666666667,15.2002479187197,16.9221428571429,25.6462077106142,"tab"
"27",5,47.21,10.79,3.93,1.4,6.09,3.41,14.72,17.0294811931543,15.662,21.2404907464922,17.25,20.0826520176098,17.7815,24.3579082965532,14.3986666666667,16.8094207144157,16.6054682539683,23.216873048517,"tab"
