,V1,cond((Int)),disp((Int)),cond(Dist_edge_std),cond(Dist_trail_beginning_std),cond(Dist_trail_std),df,logLik,AICc,delta,weight
25,all.tax.btotal.2017,0.015568943,NA,NA,NA,-1.924172,4,13.9312231,-11.862446,0,0.9759849
26,all.tax.btotal.2017,0.01614934,NA,-0.254774,NA,-1.87048,5,14.0075865,-3.015173,8.847273,0.01170259
27,all.tax.btotal.2017,0.001624926,NA,NA,0.02041931,-1.92154,5,13.9470491,-2.894098,8.968348,0.01101517
28,all.tax.btotal.2017,-0.144165119,NA,-3.9559449,NA,NA,4,7.095518,1.808964,13.67141,0.0010489
29,all.tax.btotal.2017,-0.515250384,NA,-5.0652112,0.6855541,NA,5,9.8982523,5.203495,17.065942,0.000192141
30,all.tax.btotal.2017,-0.475324547,NA,NA,NA,NA,3,0.9446108,8.110778,19.973225,4.49E-05
31,all.tax.btotal.2017,-0.085422134,NA,-0.9487852,0.15214783,-1.707365,6,14.3473348,11.30533,23.167777,9.09E-06
32,all.tax.btotal.2017,-0.530210754,NA,NA,0.08100307,NA,4,0.9630629,14.073874,25.93632,2.28E-06
,,,,,,,,,,,
33,all.tax.brich.2017,-2.435749,NA,NA,NA,NA,3,15.84816,-21.696327,0,0.406411553
34,all.tax.brich.2017,-2.376071,NA,-2.680371,NA,NA,4,18.7582,-21.51641,0.1799174,0.371447536
35,all.tax.brich.2017,-2.077616,NA,NA,-0.6470457,NA,4,17.53525,-19.070492,2.6258356,0.109338493
36,all.tax.brich.2017,-2.33803,NA,NA,NA,-0.56480909,4,17.17152,-18.343032,3.3532948,0.075998906
37,all.tax.brich.2017,-1.847803,NA,NA,-0.9763703,-0.94422266,5,20.54465,-16.089298,5.6070296,0.0246272
38,all.tax.brich.2017,-2.16519,NA,-2.022141,-0.4095487,NA,5,19.41022,-13.820433,7.875894,0.007920223
39,all.tax.brich.2017,-2.373869,NA,-2.642598,NA,-0.02243954,5,18.75913,-12.51826,9.1780667,0.00413023
40,all.tax.brich.2017,-1.451372,NA,3.670252,-1.8717032,-2.1610942,6,22.76822,-5.536433,16.159894,0.000125861
,,,,,,,,,,,
41,all.tax.brepl.2017,-0.4119414,NA,NA,NA,-1.4252725,4,10.329711,-4.659423,0,0.9265784
42,all.tax.brepl.2017,-0.524822,NA,-3.3022332,NA,NA,4,6.671224,2.657551,7.316974,0.02387929
43,all.tax.brepl.2017,-0.574862,NA,NA,0.2369799,-1.4646403,5,11.060844,2.878312,7.537734,0.02138375
44,all.tax.brepl.2017,-1.0141303,NA,-4.652972,0.8988794,NA,5,10.493309,4.013381,8.672804,0.01212291
45,all.tax.brepl.2017,-0.4121681,NA,0.2546006,NA,-1.4866553,5,10.349996,4.300008,8.959431,0.01050428
46,all.tax.brepl.2017,-0.7381429,NA,NA,NA,NA,3,2.144567,5.710867,10.37029,0.005188029
47,all.tax.brepl.2017,-0.9025414,NA,NA,0.2871576,NA,4,2.349574,11.300853,15.960275,0.000317068
48,all.tax.brepl.2017,-0.7750891,NA,-2.3385382,0.565288,-0.9500944,6,11.857589,16.284822,20.944245,2.62E-05
,,,,,,,,,,,
49,inv.tax.btotal.2017,-0.8775093,NA,NA,NA,NA,3,3.493758,3.012485,0,0.4842912
50,inv.tax.btotal.2017,-0.8227115,NA,NA,NA,-1.1240796,4,6.144123,3.711755,0.6992696,0.3413989
51,inv.tax.btotal.2017,-0.787493,NA,-2.7495041,NA,NA,4,5.246508,5.506984,2.4944987,0.1391339
52,inv.tax.btotal.2017,-0.9334473,NA,NA,0.08177698,NA,4,3.506898,8.986203,5.9737181,0.02443038
53,inv.tax.btotal.2017,-0.8684793,NA,NA,0.06559196,-1.1216357,5,6.160367,12.679266,9.6667809,0.00385471
54,inv.tax.btotal.2017,-0.8232907,NA,-0.2228221,NA,-1.0723108,5,6.149628,12.700745,9.68826,0.003813534
55,inv.tax.btotal.2017,-1.2475304,NA,-3.8453503,0.61404231,NA,5,5.934386,13.131229,10.1187435,0.00307503
56,inv.tax.btotal.2017,-1.014311,NA,-1.4414235,0.26750394,-0.7810528,6,6.247294,27.505411,24.4929261,2.33E-06
,,,,,,,,,,,
57,inv.tax.brich.2017,-0.7664192,NA,NA,NA,NA,3,16.75791,-23.515817,0,0.7075144
58,inv.tax.brich.2017,-0.6771009,NA,-3.755273,NA,NA,4,18.42805,-20.856103,2.659714,0.1871482
59,inv.tax.brich.2017,-0.4890077,NA,NA,-0.41315492,NA,4,17.13282,-18.265645,5.250172,0.05124777
60,inv.tax.brich.2017,-0.6808481,NA,NA,NA,-0.3219865,4,16.98283,-17.965656,5.550161,0.0441096
61,inv.tax.brich.2017,-1.0551114,NA,-8.240011,NA,1.5266986,5,19.65853,-14.317062,9.198755,0.007116247
62,inv.tax.brich.2017,-0.6369325,NA,-3.598923,-0.06228329,NA,5,18.4346,-11.869194,11.646623,0.002092682
63,inv.tax.brich.2017,-0.3735339,NA,NA,-0.44289855,-0.3633825,5,17.42474,-9.849482,13.666335,0.000762304
64,inv.tax.brich.2017,-1.79484,NA,-12.167968,0.96655668,2.4480448,6,20.46261,-0.925213,22.590604,8.80E-06
