"","ForestID","Dist_trail","Dist_edge","Dist_trail_beginning","Dist_trail_std","Dist_edge_std","Dist_trail_beginning_std"
"2017.guil.moniz.0.1","Guilherme_moniz",0,0,0,0,0,0
"2017.guil.moniz.0.2","Guilherme_moniz",2,2,0,0.0965538768197051,0.0204330775444641,0
"2017.guil.moniz.0.3","Guilherme_moniz",12,12,0,0.57932326091823,0.122598465266785,0
"2017.serreta .0.1","Lagoinha",0,0,0,0,0,0
"2017.serreta .0.2","Lagoinha",2,2,0,0.0965538768197051,0.0204330775444641,0
"2017.serreta .0.3","Lagoinha",12,12,0,0.57932326091823,0.122598465266785,0
"2017.serreta .50.1","Lagoinha",0,50,50,0,0.510826938611603,0.148585990712098
"2017.serreta .50.2","Lagoinha",2,50,50,0.0965538768197051,0.510826938611603,0.148585990712098
"2017.serreta .50.3","Lagoinha",12,50,50,0.57932326091823,0.510826938611603,0.148585990712098
"2017.serreta .250.1","Lagoinha",0,250,250,0,2.55413469305802,0.742929953560491
"2017.serreta .250.2","Lagoinha",2,250,250,0.0965538768197051,2.55413469305802,0.742929953560491
"2017.serreta .250.3","Lagoinha",12,250,250,0.57932326091823,2.55413469305802,0.742929953560491
"2017.serreta .Control 50.2","Lagoinha",70,293,300,3.37938568868968,2.993445860264,0.891515944272589
"2017.mist.negros.0.1","Mistérios_Negros",0,0,0,0,0,0
"2017.mist.negros.0.2","Mistérios_Negros",2,2,0,0.0965538768197051,0.0204330775444641,0
"2017.mist.negros.0.3","Mistérios_Negros",12,12,0,0.57932326091823,0.122598465266785,0
"2017.mist.negros.50.1","Mistérios_Negros",0,-25,50,0,-0.255413469305802,0.148585990712098
"2017.mist.negros.50.2","Mistérios_Negros",2,-25,50,0.0965538768197051,-0.255413469305802,0.148585990712098
"2017.mist.negros.50.3","Mistérios_Negros",12,-25,50,0.57932326091823,-0.255413469305802,0.148585990712098
"2017.mist.negros.250.1","Mistérios_Negros",0,0,250,0,0,0.742929953560491
"2017.mist.negros.250.2","Mistérios_Negros",2,2,250,0.0965538768197051,0.0204330775444641,0.742929953560491
"2017.mist.negros.250.3","Mistérios_Negros",12,12,250,0.57932326091823,0.122598465266785,0.742929953560491
"2017.mist.negros.max.1","Mistérios_Negros",0,25,960,0,0.255413469305802,2.85285102167229
"2017.mist.negros.max.2","Mistérios_Negros",2,25,960,0.0965538768197051,0.255413469305802,2.85285102167229
"2017.mist.negros.max.3","Mistérios_Negros",12,25,960,0.57932326091823,0.255413469305802,2.85285102167229
"2017.mist.negros.control50.2","Mistérios_Negros",70,70,200,3.37938568868968,0.715157714056245,0.594343962848393
"2017.malhadas.0.1","Pico_Vara",0,0,0,0,0,0
"2017.malhadas.0.2","Pico_Vara",2,2,0,0.0965538768197051,0.0204330775444641,0
"2017.malhadas.0.3","Pico_Vara",12,12,0,0.57932326091823,0.122598465266785,0
"2017.malhadas.50.1.","Pico_Vara",0,14,50,0,0.143031542811249,0.148585990712098
"2017.malhadas.50.2","Pico_Vara",2,12,50,0.0965538768197051,0.122598465266785,0.148585990712098
"2017.malhadas.50.3","Pico_Vara",12,2,50,0.57932326091823,0.0204330775444641,0.148585990712098
"2017.malhadas.250.1","Pico_Vara",0,0,250,0,0,0.742929953560491
"2017.malhadas.250.2","Pico_Vara",2,2,250,0.0965538768197051,0.0204330775444641,0.742929953560491
