Count of  lala2;Column Labels;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Row Labels;0;1;2;3;4;5;6;11;12;13;14;18;19;20;22;31;32;33;34;35;36;38;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;61;62;63;64;66;90;91;92;93;95;97;98;99;100;101;road;(blank);Grand Total
guil.moniz;;51;108;1;82;;;;;;1;;3;;;;;;;;;;1;1;;5;4;;6;;7;;;6;;;;;;;;;;;;;1;1;25;81;;;;2;;;;386
0;;51;108;1;82;;;;;;1;;3;;;;;;;;;;1;1;;5;4;;6;;7;;;6;;;;;;;;;;;;;1;1;25;81;;;;2;;;;386
malhadas;;1;188;;37;2;5;5;9;13;8;9;14;1;1;9;;;10;2;1;1;;;3;6;90;;;1;;43;14;60;5;6;21;13;74;55;13;5;;2;2;;8;75;12;52;1;;;168;;18;;1063
0;;;61;;11;;2;2;;1;;7;;;;4;;;;1;;;;;2;2;20;;;;;20;;14;2;3;4;7;8;12;;;;;;;1;12;4;2;;;;9;;18;;229
50;;1;17;;16;;1;;7;4;4;;1;1;1;;;;;;1;;;;1;4;21;;;;;23;;19;1;2;2;;14;6;;;;;;;4;14;7;3;;;;68;;;;243
250;;;49;;5;2;1;1;;2;2;1;6;;;;;;1;;;1;;;;;13;;;;;;1;4;;;6;;11;13;13;3;;1;2;;2;25;;8;1;;;23;;;;197
control50;;;14;;;;;;;;;;2;;;;;;;;;;;;;;4;;;;;;6;1;2;;2;3;10;3;;;;;;;;8;1;2;;;;17;;;;75
max;;;47;;5;;1;2;2;6;2;1;5;;;5;;;9;1;;;;;;;32;;;1;;;7;22;;1;7;3;31;21;;2;;1;;;1;16;;37;;;;51;;;;319
mist.negros;;65;296;6;350;;1;;;;12;;31;;;;;;;;;;;;3;;10;;;;;142;1;173;1;;22;;;30;1;;;;;;;56;34;36;;;20;233;6;;;1529
0;;19;57;2;130;;;;;;;;7;;;;;;;;;;;;;;8;;;;;4;;4;;;7;;;4;;;;;;;;11;17;24;;;20;7;;;;321
50;;7;80;;65;;;;;;6;;23;;;;;;;;;;;;3;;2;;;;;;;3;;;2;;;1;1;;;;;;;2;8;8;;;;62;1;;;274
250;;14;78;4;73;;1;;;;6;;;;;;;;;;;;;;;;;;;;;132;;91;;;;;;5;;;;;;;;27;;;;;;43;;;;474
control50;;;15;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;53;1;;13;;;8;;;;;;;;8;2;;;;;37;5;;;155
max;;25;66;;74;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1;22;;;;;;12;;;;;;;;8;7;4;;;;84;;;;305
serreta ;1;22;390;5;235;1;;;;2;;;74;;;22;47;2;;1;;;1;;35;;29;1;3;;;47;51;114;28;3;109;;1;34;26;;1;1;;1;5;35;58;286;;2;;44;5;;;1722
0;1;3;105;;99;;;;;2;;;14;;;10;30;;;1;;;;;20;;11;;3;;;14;23;53;16;1;22;;;10;13;;;;;;1;11;37;57;;2;;1;3;;;563
50;;9;142;4;52;;;;;;;;4;;;5;9;;;;;;1;;12;;5;;;;;33;8;17;5;2;33;;;5;3;;;1;;;3;7;12;78;;;;;1;;;451
250;;10;129;1;81;1;;;;;;;46;;;1;6;;;;;;;;1;;1;1;;;;;20;10;7;;50;;;13;10;;;;;1;1;15;4;150;;;;;;;;559
Control 50;;;14;;3;;;;;;;;10;;;6;2;2;;;;;;;2;;12;;;;;;;34;;;4;;1;6;;;1;;;;;2;5;1;;;;43;1;;;149
Grand Total;1;139;982;12;704;3;6;5;9;15;21;9;122;1;1;31;47;2;10;3;1;1;2;1;41;11;133;1;9;1;7;232;66;353;34;9;152;13;75;119;40;5;1;3;2;1;14;167;129;455;1;2;20;447;11;18;;4700
