;X;year.trail.area.plot;trail.area.plot;latitude;longitude;other_species_present_on_plot;date;surveyors;trail_name;sampling_area;plot;tread_condition_line_1;ease_of_progression_line_1;tread_condition_line_2;ease_of_progression_line_2;tread_condition_line_3;ease_of_progression_line_3;tread_condition_line_4;ease_of_progression_line_4;tread_condition_line_5;ease_of_progression_line_5;tread_condition_line_6;ease_of_progression_line_6;tread_condition_line_7;ease_of_progression_line_7;tread_condition_line_8;ease_of_progression_line_8;tread_condition_line_9;ease_of_progression_line_9;tread_condition_line_10;ease_of_progression_line_10;height_line1_25;height_line1_50;height_line1_100;height_line1_150;height_line2_25;height_line2_50;height_line2_100;height_line2_150cm;height_line3_25;height_line2_50cm;height_line2_100cm;height_line3_150cm;height_line4_25;height_line4_50cm;height_line4_100cm;height_line4_150cm;height_line5_25;height_line5_50cm;height_line5_100cm;height_line5_150cm;height_line6_25;height_line6_50cm;height_line6_100cm;height_line6_150cm;height_line7_25;height_line7_50cm;height_line7_100cm;height_line7_150cm;height_line8_25;height_line8_50cm;height_line8_100cm;height_line8_150cm;height_line9_;height_line9_50cm;height_line9_100cm;height_line9_150cm;height_line10_25;height_line10_50cm;height_line10_100cm;height_line10_150cm; lala; lala; lala
1;Line 1;2017.malhadas.0.1;malhadas.0.1;37,8171031;-25,184762;64 93 34 ;09/08/2017;Rui;malhadas;0;1;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil,Wood;Easy Medium;Mineral Soil,Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;5;60;30;30;30;65;70;55;100;100;0;0;0;40;100;100;-10;25;100;100;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X25l1mf1;2;4
2;Line 1;2017.malhadas.0.1;malhadas.0.1;37,8171031;-25,184762;64 93 34 ;09/08/2017;Rui;malhadas;0;1;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil,Wood;Easy Medium;Mineral Soil,Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;5;60;30;30;30;65;70;55;100;100;0;0;0;40;100;100;-10;25;100;100;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X25l1mf2;93;18
3;Line 1;2017.malhadas.0.1;malhadas.0.1;37,8171031;-25,184762;64 93 34 ;09/08/2017;Rui;malhadas;0;1;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil,Wood;Easy Medium;Mineral Soil,Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;5;60;30;30;30;65;70;55;100;100;0;0;0;40;100;100;-10;25;100;100;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X25l1mf3;67;44
4;Line 1;2017.malhadas.0.1;malhadas.0.1;37,8171031;-25,184762;64 93 34 ;09/08/2017;Rui;malhadas;0;1;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil,Wood;Easy Medium;Mineral Soil,Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;5;60;30;30;30;65;70;55;100;100;0;0;0;40;100;100;-10;25;100;100;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X50l1mf1;4;0
5;Line 1;2017.malhadas.0.1;malhadas.0.1;37,8171031;-25,184762;64 93 34 ;09/08/2017;Rui;malhadas;0;1;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil,Wood;Easy Medium;Mineral Soil,Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;5;60;30;30;30;65;70;55;100;100;0;0;0;40;100;100;-10;25;100;100;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X100l1mf1;2;27
6;Line 1;2017.malhadas.0.1;malhadas.0.1;37,8171031;-25,184762;64 93 34 ;09/08/2017;Rui;malhadas;0;1;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil,Wood;Easy Medium;Mineral Soil,Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;5;60;30;30;30;65;70;55;100;100;0;0;0;40;100;100;-10;25;100;100;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X100l1mf2;56;74
7;Line 1;2017.malhadas.0.1;malhadas.0.1;37,8171031;-25,184762;64 93 34 ;09/08/2017;Rui;malhadas;0;1;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil,Wood;Easy Medium;Mineral Soil,Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;5;60;30;30;30;65;70;55;100;100;0;0;0;40;100;100;-10;25;100;100;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X100l1mf3;67;42
8;Line 1;2017.malhadas.0.1;malhadas.0.1;37,8171031;-25,184762;64 93 34 ;09/08/2017;Rui;malhadas;0;1;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil,Wood;Easy Medium;Mineral Soil,Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;5;60;30;30;30;65;70;55;100;100;0;0;0;40;100;100;-10;25;100;100;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X150l1mf1;2;0
9;Line 1;2017.malhadas.0.1;malhadas.0.1;37,8171031;-25,184762;64 93 34 ;09/08/2017;Rui;malhadas;0;1;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil,Wood;Easy Medium;Mineral Soil,Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;5;60;30;30;30;65;70;55;100;100;0;0;0;40;100;100;-10;25;100;100;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X150l1mf2;67;58
10;Line 1;2017.malhadas.0.1;malhadas.0.1;37,8171031;-25,184762;64 93 34 ;09/08/2017;Rui;malhadas;0;1;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil,Wood;Easy Medium;Mineral Soil,Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;5;60;30;30;30;65;70;55;100;100;0;0;0;40;100;100;-10;25;100;100;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X150l1mf3;52;100
11;Line 1;2017.malhadas.0.1;malhadas.0.1;37,8171031;-25,184762;64 93 34 ;09/08/2017;Rui;malhadas;0;1;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil,Wood;Easy Medium;Mineral Soil,Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;5;60;30;30;30;65;70;55;100;100;0;0;0;40;100;100;-10;25;100;100;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X25l2mf1;2;0
12;Line 1;2017.malhadas.0.1;malhadas.0.1;37,8171031;-25,184762;64 93 34 ;09/08/2017;Rui;malhadas;0;1;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil,Wood;Easy Medium;Mineral Soil,Vegetation;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;Mineral Soil;Easy Medium;5;60;30;30;30;65;70;55;100;100;0;0;0;40;100;100;-10;25;100;100;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;X25l2mf2;93;14
